"SiteID","Pct_Windows_Facing_North","Pct_Windows_Facing_NorthEast","Pct_Windows_Facing_East","Pct_Windows_Facing_SouthEast","Pct_Windows_Facing_South","Pct_Windows_Facing_SouthWest","Pct_Windows_Facing_West","Pct_Windows_Facing_NorthWest","Pct_Windows_Facing_Unknown"
"SITE_1083","33.3%","0.0%","11.1%","0.0%","0.0%","33.3%","22.2%","0.0%","0.0%"
"SITE_1084","16.7%","0.0%","25.0%","0.0%","33.3%","0.0%","25.0%","0.0%","0.0%"
"SITE_1085","16.7%","0.0%","16.7%","0.0%","33.3%","0.0%","33.3%","0.0%","0.0%"
"SITE_1086","23.1%","0.0%","15.4%","0.0%","53.8%","0.0%","7.7%","0.0%","0.0%"
"SITE_1087","12.5%","0.0%","50.0%","0.0%","12.5%","0.0%","25.0%","0.0%","0.0%"
"SITE_1088","31.2%","0.0%","18.8%","0.0%","0.0%","0.0%","50.0%","0.0%","0.0%"
"SITE_1089","30.0%","0.0%","30.0%","0.0%","20.0%","0.0%","20.0%","0.0%","0.0%"
"SITE_109","50.0%","0.0%","8.3%","0.0%","41.7%","0.0%","0.0%","0.0%","0.0%"
"SITE_1090","10.0%","0.0%","40.0%","0.0%","10.0%","0.0%","40.0%","0.0%","0.0%"
"SITE_1091","22.7%","0.0%","22.7%","0.0%","27.3%","0.0%","27.3%","0.0%","0.0%"
"SITE_1092","0.0%","0.0%","50.0%","0.0%","0.0%","0.0%","50.0%","0.0%","0.0%"
"SITE_1093","15.4%","0.0%","23.1%","0.0%","30.8%","0.0%","30.8%","0.0%","0.0%"
"SITE_1094","0.0%","40.0%","0.0%","10.0%","0.0%","30.0%","0.0%","20.0%","0.0%"
"SITE_1095","0.0%","28.6%","0.0%","42.9%","0.0%","0.0%","0.0%","28.6%","0.0%"
"SITE_1096","0.0%","0.0%","40.0%","0.0%","0.0%","0.0%","60.0%","0.0%","0.0%"
"SITE_1097","20.0%","0.0%","28.0%","0.0%","28.0%","0.0%","24.0%","0.0%","0.0%"
"SITE_1098","18.2%","0.0%","45.5%","0.0%","0.0%","0.0%","36.4%","0.0%","0.0%"
"SITE_1099","4.8%","9.5%","0.0%","28.6%","0.0%","4.8%","14.3%","38.1%","0.0%"
"SITE_11","6.2%","0.0%","25.0%","6.2%","12.5%","31.2%","18.8%","0.0%","0.0%"
"SITE_110","22.2%","0.0%","22.2%","0.0%","33.3%","0.0%","22.2%","0.0%","0.0%"
"SITE_1100","26.9%","0.0%","11.5%","3.8%","34.6%","0.0%","15.4%","7.7%","0.0%"
"SITE_1101","0.0%","0.0%","36.4%","0.0%","0.0%","0.0%","63.6%","0.0%","0.0%"
"SITE_1102","18.2%","0.0%","45.5%","0.0%","9.1%","0.0%","27.3%","0.0%","0.0%"
"SITE_1103","0.0%","20.0%","0.0%","40.0%","0.0%","0.0%","0.0%","40.0%","0.0%"
"SITE_1104","35.3%","0.0%","23.5%","11.8%","11.8%","11.8%","5.9%","0.0%","0.0%"
"SITE_1105","0.0%","0.0%","42.9%","0.0%","14.3%","0.0%","42.9%","0.0%","0.0%"
"SITE_1106","44.4%","0.0%","22.2%","0.0%","33.3%","0.0%","0.0%","0.0%","0.0%"
"SITE_1107","66.7%","0.0%","0.0%","0.0%","33.3%","0.0%","0.0%","0.0%","0.0%"
"SITE_1108","18.2%","0.0%","36.4%","0.0%","27.3%","0.0%","18.2%","0.0%","0.0%"
"SITE_1109","60.0%","0.0%","0.0%","0.0%","40.0%","0.0%","0.0%","0.0%","0.0%"
"SITE_111","80.0%","0.0%","0.0%","0.0%","0.0%","0.0%","20.0%","0.0%","0.0%"
"SITE_1110","31.6%","0.0%","15.8%","0.0%","36.8%","0.0%","15.8%","0.0%","0.0%"
"SITE_1111","0.0%","28.6%","0.0%","0.0%","9.5%","33.3%","9.5%","19.0%","0.0%"
"SITE_1112","0.0%","0.0%","36.4%","0.0%","27.3%","0.0%","36.4%","0.0%","0.0%"
"SITE_1113","25.0%","0.0%","12.5%","0.0%","37.5%","0.0%","25.0%","0.0%","0.0%"
"SITE_1114","30.0%","10.0%","0.0%","0.0%","30.0%","0.0%","20.0%","10.0%","0.0%"
"SITE_1115","4.8%","0.0%","23.8%","0.0%","23.8%","4.8%","42.9%","0.0%","0.0%"
"SITE_1116","0.0%","0.0%","50.0%","0.0%","8.3%","0.0%","41.7%","0.0%","0.0%"
"SITE_1117","0.0%","25.0%","0.0%","25.0%","0.0%","25.0%","0.0%","25.0%","0.0%"
"SITE_1118","6.7%","0.0%","46.7%","0.0%","13.3%","0.0%","33.3%","0.0%","0.0%"
"SITE_1119","12.5%","0.0%","37.5%","0.0%","12.5%","0.0%","37.5%","0.0%","0.0%"
"SITE_112","20.0%","0.0%","13.3%","0.0%","33.3%","0.0%","33.3%","0.0%","0.0%"
"SITE_1120","20.0%","0.0%","20.0%","0.0%","20.0%","0.0%","40.0%","0.0%","0.0%"
"SITE_1121","50.0%","0.0%","25.0%","0.0%","25.0%","0.0%","0.0%","0.0%","0.0%"
"SITE_1122","21.7%","0.0%","26.1%","0.0%","13.0%","0.0%","39.1%","0.0%","0.0%"
"SITE_1123","15.4%","0.0%","23.1%","0.0%","23.1%","0.0%","38.5%","0.0%","0.0%"
"SITE_1124","18.2%","0.0%","0.0%","27.3%","45.5%","0.0%","9.1%","0.0%","0.0%"
"SITE_1125","16.7%","0.0%","33.3%","0.0%","16.7%","0.0%","33.3%","0.0%","0.0%"
"SITE_1126","18.8%","0.0%","18.8%","3.1%","31.2%","3.1%","25.0%","0.0%","0.0%"
"SITE_1127","57.1%","0.0%","0.0%","0.0%","42.9%","0.0%","0.0%","0.0%","0.0%"
"SITE_1128","22.2%","0.0%","22.2%","0.0%","27.8%","0.0%","27.8%","0.0%","0.0%"
"SITE_1129","0.0%","0.0%","50.0%","0.0%","0.0%","0.0%","50.0%","0.0%","0.0%"
"SITE_113","17.6%","0.0%","29.4%","0.0%","29.4%","0.0%","23.5%","0.0%","0.0%"
"SITE_1130","13.0%","17.4%","21.7%","30.4%","0.0%","13.0%","4.3%","0.0%","0.0%"
"SITE_1131","18.8%","0.0%","31.2%","0.0%","12.5%","0.0%","37.5%","0.0%","0.0%"
"SITE_1132","0.0%","21.4%","7.1%","21.4%","14.3%","0.0%","21.4%","14.3%","0.0%"
"SITE_1133","35.7%","0.0%","0.0%","0.0%","50.0%","7.1%","7.1%","0.0%","0.0%"
"SITE_1134","28.6%","0.0%","0.0%","0.0%","28.6%","0.0%","42.9%","0.0%","0.0%"
"SITE_1135","0.0%","0.0%","42.9%","0.0%","14.3%","0.0%","42.9%","0.0%","0.0%"
"SITE_1136","27.3%","0.0%","27.3%","0.0%","27.3%","0.0%","18.2%","0.0%","0.0%"
"SITE_1137","11.1%","0.0%","22.2%","0.0%","33.3%","0.0%","33.3%","0.0%","0.0%"
"SITE_1138","0.0%","21.4%","0.0%","21.4%","0.0%","28.6%","0.0%","28.6%","0.0%"
"SITE_1139","27.3%","0.0%","27.3%","0.0%","36.4%","0.0%","9.1%","0.0%","0.0%"
"SITE_114","40.0%","0.0%","30.0%","0.0%","0.0%","0.0%","30.0%","0.0%","0.0%"
"SITE_1140","15.8%","0.0%","26.3%","0.0%","36.8%","0.0%","21.1%","0.0%","0.0%"
"SITE_1141","25.0%","0.0%","0.0%","0.0%","25.0%","0.0%","50.0%","0.0%","0.0%"
"SITE_1142","13.3%","6.7%","6.7%","0.0%","53.3%","6.7%","13.3%","0.0%","0.0%"
"SITE_1143","36.4%","0.0%","9.1%","0.0%","36.4%","0.0%","18.2%","0.0%","0.0%"
"SITE_1144","25.0%","0.0%","37.5%","0.0%","12.5%","0.0%","25.0%","0.0%","0.0%"
"SITE_1145","36.4%","0.0%","18.2%","0.0%","27.3%","0.0%","18.2%","0.0%","0.0%"
"SITE_1146","28.6%","0.0%","35.7%","0.0%","0.0%","0.0%","35.7%","0.0%","0.0%"
"SITE_1147","22.2%","0.0%","11.1%","0.0%","55.6%","0.0%","11.1%","0.0%","0.0%"
"SITE_1148","50.0%","0.0%","0.0%","0.0%","50.0%","0.0%","0.0%","0.0%","0.0%"
"SITE_1149","27.3%","9.1%","0.0%","0.0%","45.5%","0.0%","9.1%","9.1%","0.0%"
"SITE_115","9.1%","0.0%","36.4%","0.0%","27.3%","0.0%","27.3%","0.0%","0.0%"
"SITE_1150","19.0%","0.0%","28.6%","0.0%","19.0%","0.0%","33.3%","0.0%","0.0%"
"SITE_1151","0.0%","16.7%","0.0%","50.0%","0.0%","16.7%","0.0%","16.7%","0.0%"
"SITE_1152","23.1%","0.0%","30.8%","0.0%","30.8%","0.0%","15.4%","0.0%","0.0%"
"SITE_1153","30.8%","0.0%","30.8%","0.0%","7.7%","0.0%","30.8%","0.0%","0.0%"
"SITE_1154","23.8%","0.0%","19.0%","0.0%","28.6%","0.0%","28.6%","0.0%","0.0%"
"SITE_1155","46.2%","0.0%","15.4%","0.0%","38.5%","0.0%","0.0%","0.0%","0.0%"
"SITE_1156","22.2%","0.0%","33.3%","0.0%","22.2%","0.0%","22.2%","0.0%","0.0%"
"SITE_1157","25.0%","0.0%","25.0%","0.0%","25.0%","0.0%","25.0%","0.0%","0.0%"
"SITE_1158","17.6%","0.0%","23.5%","0.0%","23.5%","0.0%","35.3%","0.0%","0.0%"
"SITE_1159","18.2%","0.0%","36.4%","0.0%","18.2%","0.0%","27.3%","0.0%","0.0%"
"SITE_116","20.0%","0.0%","20.0%","0.0%","30.0%","0.0%","30.0%","0.0%","0.0%"
"SITE_1160","26.7%","0.0%","20.0%","0.0%","20.0%","0.0%","33.3%","0.0%","0.0%"
"SITE_1161","0.0%","22.2%","0.0%","18.5%","0.0%","40.7%","0.0%","18.5%","0.0%"
"SITE_1162","5.3%","15.8%","10.5%","10.5%","0.0%","31.6%","0.0%","26.3%","0.0%"
"SITE_1163","40.0%","0.0%","13.3%","0.0%","26.7%","0.0%","20.0%","0.0%","0.0%"
"SITE_1164","7.1%","0.0%","35.7%","0.0%","28.6%","0.0%","28.6%","0.0%","0.0%"
"SITE_1165","18.8%","12.5%","25.0%","0.0%","6.2%","12.5%","25.0%","0.0%","0.0%"
"SITE_1166","0.0%","30.0%","0.0%","50.0%","0.0%","10.0%","0.0%","10.0%","0.0%"
"SITE_1167","0.0%","0.0%","40.0%","0.0%","0.0%","0.0%","60.0%","0.0%","0.0%"
"SITE_1168","38.5%","0.0%","7.7%","0.0%","38.5%","0.0%","15.4%","0.0%","0.0%"
"SITE_1169","8.3%","0.0%","25.0%","0.0%","41.7%","0.0%","25.0%","0.0%","0.0%"
"SITE_117","25.0%","0.0%","16.7%","0.0%","25.0%","0.0%","33.3%","0.0%","0.0%"
"SITE_1170","54.5%","0.0%","18.2%","0.0%","27.3%","0.0%","0.0%","0.0%","0.0%"
"SITE_1171","50.0%","0.0%","30.0%","0.0%","0.0%","0.0%","20.0%","0.0%","0.0%"
"SITE_1172","22.9%","0.0%","37.1%","0.0%","17.1%","0.0%","22.9%","0.0%","0.0%"
"SITE_1173","15.0%","0.0%","35.0%","0.0%","30.0%","0.0%","15.0%","5.0%","0.0%"
"SITE_1174","28.6%","0.0%","14.3%","0.0%","21.4%","0.0%","35.7%","0.0%","0.0%"
"SITE_1175","26.7%","0.0%","20.0%","6.7%","33.3%","0.0%","13.3%","0.0%","0.0%"
"SITE_1176","25.0%","0.0%","16.7%","0.0%","33.3%","0.0%","25.0%","0.0%","0.0%"
"SITE_1177","18.2%","0.0%","27.3%","0.0%","27.3%","0.0%","27.3%","0.0%","0.0%"
"SITE_1178","63.6%","0.0%","9.1%","0.0%","27.3%","0.0%","0.0%","0.0%","0.0%"
"SITE_1179","21.4%","0.0%","28.6%","0.0%","21.4%","0.0%","28.6%","0.0%","0.0%"
"SITE_118","21.1%","0.0%","36.8%","0.0%","21.1%","0.0%","21.1%","0.0%","0.0%"
"SITE_1180","45.5%","0.0%","18.2%","0.0%","27.3%","0.0%","9.1%","0.0%","0.0%"
"SITE_1181","15.4%","0.0%","50.0%","0.0%","0.0%","0.0%","34.6%","0.0%","0.0%"
"SITE_1182","7.7%","7.7%","0.0%","15.4%","7.7%","15.4%","15.4%","30.8%","0.0%"
"SITE_1183","50.0%","0.0%","0.0%","0.0%","37.5%","0.0%","12.5%","0.0%","0.0%"
"SITE_1184","16.7%","0.0%","25.0%","0.0%","16.7%","0.0%","41.7%","0.0%","0.0%"
"SITE_1185","15.4%","0.0%","38.5%","0.0%","15.4%","0.0%","30.8%","0.0%","0.0%"
"SITE_1186","42.9%","0.0%","7.1%","0.0%","28.6%","0.0%","21.4%","0.0%","0.0%"
"SITE_1187","31.6%","0.0%","26.3%","5.3%","21.1%","0.0%","15.8%","0.0%","0.0%"
"SITE_1188","33.3%","0.0%","22.2%","0.0%","22.2%","0.0%","22.2%","0.0%","0.0%"
"SITE_1189","18.2%","0.0%","27.3%","0.0%","27.3%","0.0%","27.3%","0.0%","0.0%"
"SITE_119","23.1%","0.0%","23.1%","0.0%","7.7%","0.0%","46.2%","0.0%","0.0%"
"SITE_1190","25.0%","0.0%","20.0%","10.0%","20.0%","0.0%","15.0%","10.0%","0.0%"
"SITE_1191","10.0%","0.0%","20.0%","0.0%","30.0%","0.0%","40.0%","0.0%","0.0%"
"SITE_1192","18.8%","18.8%","0.0%","12.5%","6.2%","0.0%","31.2%","12.5%","0.0%"
"SITE_1193","0.0%","0.0%","25.0%","0.0%","25.0%","0.0%","50.0%","0.0%","0.0%"
"SITE_1194","36.4%","0.0%","27.3%","0.0%","36.4%","0.0%","0.0%","0.0%","0.0%"
"SITE_1195","0.0%","5.6%","0.0%","22.2%","0.0%","38.9%","0.0%","33.3%","0.0%"
"SITE_1196","0.0%","0.0%","16.7%","0.0%","50.0%","0.0%","33.3%","0.0%","0.0%"
"SITE_1197","22.2%","0.0%","22.2%","0.0%","22.2%","0.0%","33.3%","0.0%","0.0%"
"SITE_1198","26.7%","0.0%","20.0%","0.0%","26.7%","0.0%","26.7%","0.0%","0.0%"
"SITE_1199","30.8%","0.0%","38.5%","0.0%","0.0%","0.0%","30.8%","0.0%","0.0%"
"SITE_12","20.0%","0.0%","46.7%","0.0%","13.3%","0.0%","20.0%","0.0%","0.0%"
"SITE_120","11.1%","0.0%","33.3%","0.0%","22.2%","0.0%","33.3%","0.0%","0.0%"
"SITE_1200","33.3%","0.0%","13.3%","0.0%","33.3%","0.0%","20.0%","0.0%","0.0%"
"SITE_1201","36.4%","0.0%","0.0%","0.0%","27.3%","0.0%","36.4%","0.0%","0.0%"
"SITE_1202","45.5%","0.0%","0.0%","0.0%","18.2%","0.0%","27.3%","9.1%","0.0%"
"SITE_1203","0.0%","14.3%","0.0%","14.3%","0.0%","42.9%","0.0%","28.6%","0.0%"
"SITE_1204","11.1%","0.0%","33.3%","0.0%","22.2%","0.0%","33.3%","0.0%","0.0%"
"SITE_1205","35.3%","0.0%","11.8%","0.0%","41.2%","0.0%","11.8%","0.0%","0.0%"
"SITE_1206","38.5%","0.0%","0.0%","0.0%","30.8%","0.0%","23.1%","0.0%","7.7%"
"SITE_1207","0.0%","0.0%","26.3%","0.0%","15.8%","0.0%","57.9%","0.0%","0.0%"
"SITE_1208","33.3%","0.0%","33.3%","0.0%","25.0%","0.0%","8.3%","0.0%","0.0%"
"SITE_1209","23.1%","0.0%","15.4%","0.0%","61.5%","0.0%","0.0%","0.0%","0.0%"
"SITE_121","37.5%","0.0%","12.5%","0.0%","50.0%","0.0%","0.0%","0.0%","0.0%"
"SITE_1210","21.7%","0.0%","21.7%","0.0%","30.4%","0.0%","26.1%","0.0%","0.0%"
"SITE_1211","7.7%","15.4%","0.0%","15.4%","38.5%","7.7%","0.0%","15.4%","0.0%"
"SITE_1212","0.0%","26.7%","0.0%","0.0%","20.0%","40.0%","6.7%","6.7%","0.0%"
"SITE_1213","31.2%","0.0%","25.0%","0.0%","37.5%","0.0%","6.2%","0.0%","0.0%"
"SITE_1214","0.0%","0.0%","50.0%","0.0%","0.0%","0.0%","50.0%","0.0%","0.0%"
"SITE_1215","21.4%","0.0%","7.1%","0.0%","35.7%","0.0%","35.7%","0.0%","0.0%"
"SITE_1216","13.0%","0.0%","30.4%","0.0%","8.7%","0.0%","47.8%","0.0%","0.0%"
"SITE_1217","0.0%","30.8%","0.0%","7.7%","0.0%","46.2%","0.0%","15.4%","0.0%"
"SITE_1218","47.1%","0.0%","17.6%","5.9%","23.5%","0.0%","5.9%","0.0%","0.0%"
"SITE_1219","9.1%","0.0%","27.3%","0.0%","36.4%","0.0%","27.3%","0.0%","0.0%"
"SITE_122","38.5%","7.7%","15.4%","0.0%","15.4%","15.4%","7.7%","0.0%","0.0%"
"SITE_1220","50.0%","0.0%","10.0%","0.0%","40.0%","0.0%","0.0%","0.0%","0.0%"
"SITE_1221","23.1%","0.0%","23.1%","0.0%","38.5%","0.0%","15.4%","0.0%","0.0%"
"SITE_1222","12.5%","0.0%","18.8%","0.0%","31.2%","6.2%","25.0%","0.0%","6.2%"
"SITE_1223","37.5%","0.0%","0.0%","0.0%","31.2%","18.8%","12.5%","0.0%","0.0%"
"SITE_1224","0.0%","9.1%","0.0%","72.7%","0.0%","0.0%","0.0%","18.2%","0.0%"
"SITE_1225","20.0%","0.0%","25.0%","0.0%","20.0%","0.0%","35.0%","0.0%","0.0%"
"SITE_1226","55.6%","0.0%","11.1%","0.0%","33.3%","0.0%","0.0%","0.0%","0.0%"
"SITE_1227","30.8%","0.0%","23.1%","0.0%","23.1%","0.0%","23.1%","0.0%","0.0%"
"SITE_1228","27.3%","0.0%","9.1%","0.0%","27.3%","0.0%","36.4%","0.0%","0.0%"
"SITE_1229","40.0%","0.0%","0.0%","0.0%","40.0%","0.0%","20.0%","0.0%","0.0%"
"SITE_123","41.7%","0.0%","8.3%","0.0%","25.0%","0.0%","25.0%","0.0%","0.0%"
"SITE_1230","16.7%","0.0%","33.3%","8.3%","16.7%","0.0%","16.7%","0.0%","8.3%"
"SITE_1231","45.5%","0.0%","9.1%","0.0%","36.4%","0.0%","9.1%","0.0%","0.0%"
"SITE_1232","0.0%","0.0%","60.0%","0.0%","20.0%","0.0%","20.0%","0.0%","0.0%"
"SITE_1233","16.7%","0.0%","33.3%","0.0%","8.3%","0.0%","41.7%","0.0%","0.0%"
"SITE_1234","40.0%","0.0%","20.0%","0.0%","20.0%","0.0%","10.0%","0.0%","10.0%"
"SITE_1235","0.0%","18.8%","0.0%","25.0%","0.0%","12.5%","0.0%","43.8%","0.0%"
"SITE_1236","38.5%","0.0%","0.0%","0.0%","38.5%","0.0%","23.1%","0.0%","0.0%"
"SITE_1237","18.8%","0.0%","25.0%","0.0%","18.8%","0.0%","37.5%","0.0%","0.0%"
"SITE_1238","30.0%","0.0%","20.0%","0.0%","20.0%","0.0%","20.0%","10.0%","0.0%"
"SITE_1239","40.0%","0.0%","25.0%","0.0%","20.0%","0.0%","15.0%","0.0%","0.0%"
"SITE_124","25.0%","12.5%","25.0%","0.0%","12.5%","0.0%","12.5%","12.5%","0.0%"
"SITE_1240","21.4%","0.0%","35.7%","0.0%","35.7%","0.0%","7.1%","0.0%","0.0%"
"SITE_1241","41.7%","0.0%","16.7%","0.0%","25.0%","0.0%","16.7%","0.0%","0.0%"
"SITE_1242","0.0%","0.0%","50.0%","0.0%","0.0%","0.0%","50.0%","0.0%","0.0%"
"SITE_1243","7.7%","0.0%","46.2%","0.0%","7.7%","0.0%","38.5%","0.0%","0.0%"
"SITE_1244","12.5%","0.0%","33.3%","0.0%","12.5%","0.0%","41.7%","0.0%","0.0%"
"SITE_1245","27.3%","0.0%","18.2%","0.0%","36.4%","0.0%","18.2%","0.0%","0.0%"
"SITE_1246","26.7%","0.0%","33.3%","0.0%","26.7%","0.0%","13.3%","0.0%","0.0%"
"SITE_1247","0.0%","0.0%","72.7%","0.0%","0.0%","0.0%","27.3%","0.0%","0.0%"
"SITE_1248","0.0%","14.3%","0.0%","46.4%","0.0%","10.7%","0.0%","28.6%","0.0%"
"SITE_1249","25.0%","0.0%","16.7%","0.0%","25.0%","0.0%","25.0%","0.0%","8.3%"
"SITE_125","29.2%","0.0%","33.3%","0.0%","20.8%","0.0%","16.7%","0.0%","0.0%"
"SITE_1250","10.5%","10.5%","21.1%","5.3%","21.1%","0.0%","26.3%","5.3%","0.0%"
"SITE_1251","25.9%","0.0%","25.9%","0.0%","0.0%","0.0%","48.1%","0.0%","0.0%"
"SITE_1252","20.0%","0.0%","30.0%","0.0%","20.0%","0.0%","30.0%","0.0%","0.0%"
"SITE_1253","27.8%","0.0%","33.3%","0.0%","22.2%","0.0%","16.7%","0.0%","0.0%"
"SITE_1254","14.3%","0.0%","21.4%","0.0%","28.6%","7.1%","21.4%","7.1%","0.0%"
"SITE_1255","27.3%","0.0%","27.3%","0.0%","27.3%","0.0%","18.2%","0.0%","0.0%"
"SITE_1256","26.1%","0.0%","43.5%","0.0%","17.4%","0.0%","13.0%","0.0%","0.0%"
"SITE_1257","33.3%","0.0%","40.0%","0.0%","13.3%","0.0%","13.3%","0.0%","0.0%"
"SITE_1258","14.3%","0.0%","14.3%","0.0%","42.9%","0.0%","28.6%","0.0%","0.0%"
"SITE_1259","15.4%","0.0%","38.5%","7.7%","23.1%","0.0%","15.4%","0.0%","0.0%"
"SITE_126","25.0%","0.0%","25.0%","0.0%","0.0%","0.0%","50.0%","0.0%","0.0%"
"SITE_1260","75.0%","0.0%","0.0%","0.0%","25.0%","0.0%","0.0%","0.0%","0.0%"
"SITE_1261","27.8%","0.0%","16.7%","0.0%","38.9%","0.0%","16.7%","0.0%","0.0%"
"SITE_1262","10.0%","0.0%","40.0%","0.0%","40.0%","0.0%","10.0%","0.0%","0.0%"
"SITE_1263","16.7%","11.1%","33.3%","11.1%","11.1%","5.6%","11.1%","0.0%","0.0%"
"SITE_1264","0.0%","0.0%","45.5%","0.0%","18.2%","0.0%","36.4%","0.0%","0.0%"
"SITE_1265","55.6%","0.0%","0.0%","0.0%","33.3%","0.0%","11.1%","0.0%","0.0%"
"SITE_1266","18.2%","0.0%","36.4%","0.0%","18.2%","0.0%","27.3%","0.0%","0.0%"
"SITE_1267","30.8%","0.0%","15.4%","0.0%","53.8%","0.0%","0.0%","0.0%","0.0%"
"SITE_1268","30.8%","0.0%","15.4%","0.0%","7.7%","0.0%","46.2%","0.0%","0.0%"
"SITE_1269","23.1%","0.0%","15.4%","0.0%","38.5%","0.0%","23.1%","0.0%","0.0%"
"SITE_127","18.8%","0.0%","18.8%","0.0%","18.8%","6.2%","37.5%","0.0%","0.0%"
"SITE_1270","60.0%","0.0%","20.0%","0.0%","0.0%","0.0%","20.0%","0.0%","0.0%"
"SITE_1271","7.7%","0.0%","46.2%","0.0%","23.1%","0.0%","23.1%","0.0%","0.0%"
"SITE_1272","0.0%","0.0%","50.0%","0.0%","20.0%","0.0%","30.0%","0.0%","0.0%"
"SITE_1273","0.0%","0.0%","45.5%","0.0%","0.0%","0.0%","54.5%","0.0%","0.0%"
"SITE_1274","28.6%","0.0%","14.3%","7.1%","14.3%","7.1%","28.6%","0.0%","0.0%"
"SITE_1275","0.0%","0.0%","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%"
"SITE_1276","30.0%","0.0%","10.0%","0.0%","40.0%","0.0%","20.0%","0.0%","0.0%"
"SITE_1277","17.6%","0.0%","29.4%","0.0%","23.5%","0.0%","29.4%","0.0%","0.0%"
"SITE_1278","27.3%","0.0%","27.3%","0.0%","27.3%","0.0%","18.2%","0.0%","0.0%"
"SITE_1279","22.2%","0.0%","11.1%","22.2%","0.0%","11.1%","11.1%","22.2%","0.0%"
"SITE_128","57.1%","0.0%","0.0%","0.0%","42.9%","0.0%","0.0%","0.0%","0.0%"
"SITE_1280","12.5%","0.0%","50.0%","0.0%","0.0%","0.0%","37.5%","0.0%","0.0%"
"SITE_1281","0.0%","41.7%","0.0%","25.0%","0.0%","33.3%","0.0%","0.0%","0.0%"
"SITE_1282","36.4%","0.0%","18.2%","0.0%","18.2%","0.0%","27.3%","0.0%","0.0%"
"SITE_1283","43.5%","0.0%","26.1%","0.0%","21.7%","0.0%","8.7%","0.0%","0.0%"
"SITE_1284","0.0%","18.2%","0.0%","45.5%","0.0%","0.0%","0.0%","36.4%","0.0%"
"SITE_1285","4.8%","21.4%","0.0%","16.7%","4.8%","23.8%","9.5%","19.0%","0.0%"
"SITE_1286","35.7%","0.0%","7.1%","0.0%","42.9%","7.1%","7.1%","0.0%","0.0%"
"SITE_1287","22.2%","0.0%","22.2%","0.0%","44.4%","0.0%","11.1%","0.0%","0.0%"
"SITE_1288","10.0%","10.0%","10.0%","30.0%","0.0%","10.0%","10.0%","20.0%","0.0%"
"SITE_1289","25.0%","0.0%","25.0%","0.0%","33.3%","0.0%","16.7%","0.0%","0.0%"
"SITE_129","28.6%","0.0%","28.6%","0.0%","28.6%","0.0%","14.3%","0.0%","0.0%"
"SITE_1290","0.0%","0.0%","50.0%","0.0%","8.3%","0.0%","41.7%","0.0%","0.0%"
"SITE_1291","29.4%","0.0%","23.5%","0.0%","17.6%","0.0%","29.4%","0.0%","0.0%"
"SITE_1292","42.9%","0.0%","14.3%","0.0%","42.9%","0.0%","0.0%","0.0%","0.0%"
"SITE_1293","23.1%","0.0%","23.1%","0.0%","23.1%","0.0%","30.8%","0.0%","0.0%"
"SITE_1294","18.2%","0.0%","9.1%","0.0%","36.4%","0.0%","36.4%","0.0%","0.0%"
"SITE_1295","33.3%","0.0%","16.7%","0.0%","33.3%","0.0%","16.7%","0.0%","0.0%"
"SITE_1296","33.3%","0.0%","20.0%","0.0%","33.3%","0.0%","13.3%","0.0%","0.0%"
"SITE_1297","18.2%","0.0%","18.2%","0.0%","45.5%","0.0%","18.2%","0.0%","0.0%"
"SITE_1298","25.0%","0.0%","50.0%","0.0%","0.0%","0.0%","25.0%","0.0%","0.0%"
"SITE_1299","30.0%","0.0%","20.0%","0.0%","30.0%","0.0%","20.0%","0.0%","0.0%"
"SITE_13","33.3%","0.0%","0.0%","0.0%","33.3%","0.0%","33.3%","0.0%","0.0%"
"SITE_130","37.5%","0.0%","12.5%","0.0%","31.2%","0.0%","6.2%","0.0%","12.5%"
"SITE_1300","9.1%","0.0%","27.3%","0.0%","27.3%","0.0%","36.4%","0.0%","0.0%"
"SITE_1301","30.4%","0.0%","26.1%","0.0%","21.7%","0.0%","21.7%","0.0%","0.0%"
"SITE_1302","37.9%","0.0%","24.1%","0.0%","13.8%","0.0%","20.7%","0.0%","3.4%"
"SITE_1303","18.8%","0.0%","18.8%","0.0%","18.8%","0.0%","43.8%","0.0%","0.0%"
"SITE_1304","40.0%","0.0%","13.3%","6.7%","20.0%","6.7%","13.3%","0.0%","0.0%"
"SITE_1305","19.0%","4.8%","0.0%","23.8%","19.0%","0.0%","0.0%","33.3%","0.0%"
"SITE_1306","25.0%","0.0%","37.5%","0.0%","37.5%","0.0%","0.0%","0.0%","0.0%"
"SITE_1307","0.0%","0.0%","0.0%","44.4%","0.0%","11.1%","0.0%","44.4%","0.0%"
"SITE_1308","0.0%","0.0%","0.0%","40.0%","0.0%","40.0%","0.0%","20.0%","0.0%"
"SITE_1309","0.0%","0.0%","33.3%","16.7%","0.0%","50.0%","0.0%","0.0%","0.0%"
"SITE_131","30.0%","0.0%","20.0%","0.0%","30.0%","0.0%","10.0%","0.0%","10.0%"
"SITE_1310","30.8%","7.7%","0.0%","7.7%","30.8%","0.0%","23.1%","0.0%","0.0%"
"SITE_1311","10.0%","10.0%","20.0%","0.0%","40.0%","20.0%","0.0%","0.0%","0.0%"
"SITE_1312","50.0%","0.0%","12.5%","0.0%","25.0%","0.0%","12.5%","0.0%","0.0%"
