Table,Variable,Values
Appliance_One_Line.csv,Electric_Utility_BPA,No
Appliance_One_Line.csv,Electric_Utility_BPA,Yes
Appliance_One_Line.csv,Gas_Utility,AVISTA
Appliance_One_Line.csv,Gas_Utility,BIG SKY GAS
Appliance_One_Line.csv,Gas_Utility,CASCADE NATURAL GAS COMPANY
Appliance_One_Line.csv,Gas_Utility,ENERGY WEST
Appliance_One_Line.csv,Gas_Utility,INTERMOUNTAIN GAS
Appliance_One_Line.csv,Gas_Utility,MONTANA DOKOTA GAS
Appliance_One_Line.csv,Gas_Utility,NORTHWESTERN
Appliance_One_Line.csv,Gas_Utility,NW NATURAL GAS
Appliance_One_Line.csv,Gas_Utility,PUGET SOUND ENERGY
Appliance_One_Line.csv,Gas_Utility,UNKNOWN
Appliance_One_Line.csv,NWN_SF_StrataVar,NWN
Appliance_One_Line.csv,NWN_SF_StrataVar,Non-NWN
Appliance_One_Line.csv,Ownership,Own
Appliance_One_Line.csv,Ownership,Rent
Appliance_One_Line.csv,Region_SF_StrataVar,ID
Appliance_One_Line.csv,Region_SF_StrataVar,MT - BPA
Appliance_One_Line.csv,Region_SF_StrataVar,OR - Eastern
Appliance_One_Line.csv,Region_SF_StrataVar,OR - Western
Appliance_One_Line.csv,Region_SF_StrataVar,WA - Eastern
Appliance_One_Line.csv,Region_SF_StrataVar,WA - Puget Sound
Appliance_One_Line.csv,Region_SF_StrataVar,WA - Western
Appliance_One_Line.csv,Sample_SF_StrataVar,Avista
Appliance_One_Line.csv,Sample_SF_StrataVar,BPA
Appliance_One_Line.csv,Sample_SF_StrataVar,Base/Core
Appliance_One_Line.csv,Sample_SF_StrataVar,HZ 2/3
Appliance_One_Line.csv,Sample_SF_StrataVar,NWN
Appliance_One_Line.csv,State,ID
Appliance_One_Line.csv,State,MT
Appliance_One_Line.csv,State,OR
Appliance_One_Line.csv,State,WA
Appliance_PowerStrip.csv,Application,Entertainment Center
Appliance_PowerStrip.csv,Application,Home Office
Appliance_PowerStrip.csv,Application,Other
Appliance_PowerStrip.csv,Room_Type,Attic
Appliance_PowerStrip.csv,Room_Type,Basement
Appliance_PowerStrip.csv,Room_Type,Bathroom
Appliance_PowerStrip.csv,Room_Type,Bedroom
Appliance_PowerStrip.csv,Room_Type,Closet
Appliance_PowerStrip.csv,Room_Type,Dining Room
Appliance_PowerStrip.csv,Room_Type,Entry/Entryway
Appliance_PowerStrip.csv,Room_Type,Family Room
Appliance_PowerStrip.csv,Room_Type,Garage
Appliance_PowerStrip.csv,Room_Type,Hallway
Appliance_PowerStrip.csv,Room_Type,Kitchen
Appliance_PowerStrip.csv,Room_Type,Laundry
Appliance_PowerStrip.csv,Room_Type,Living Room
Appliance_PowerStrip.csv,Room_Type,Mechanical
Appliance_PowerStrip.csv,Room_Type,Office
Appliance_PowerStrip.csv,Room_Type,Other
Appliance_PowerStrip.csv,Room_Type,Outbuilding / Addition
Appliance_PowerStrip.csv,Room_Type,Outside
Appliance_PowerStrip.csv,Smart_Power_Strip,No
Appliance_PowerStrip.csv,Smart_Power_Strip,Yes
Appliance_PowerStrip.csv,Wifi_Enabled,No
Appliance_PowerStrip.csv,Wifi_Enabled,Yes
Appliance_Refrigerator_Freezer.csv,Door_in_Door,No
Appliance_Refrigerator_Freezer.csv,Door_in_Door,Yes
Appliance_Refrigerator_Freezer.csv,Energy_Star,No
Appliance_Refrigerator_Freezer.csv,Energy_Star,Yes
Appliance_Refrigerator_Freezer.csv,Icemaker_Present,No
Appliance_Refrigerator_Freezer.csv,Icemaker_Present,Yes
Appliance_Refrigerator_Freezer.csv,Icemaker_Working,No
Appliance_Refrigerator_Freezer.csv,Icemaker_Working,Yes
Appliance_Refrigerator_Freezer.csv,Icemaker_type,In freezer
Appliance_Refrigerator_Freezer.csv,Icemaker_type,None
Appliance_Refrigerator_Freezer.csv,Icemaker_type,Through door
Appliance_Refrigerator_Freezer.csv,Integrated_Scren,No
Appliance_Refrigerator_Freezer.csv,Integrated_Scren,Yes
Appliance_Refrigerator_Freezer.csv,Primary,No
Appliance_Refrigerator_Freezer.csv,Primary,Yes
Appliance_Refrigerator_Freezer.csv,Refrigerator_Freezer_Missing_Model_Reason,NAMEPLATE IS ILLEGIBLE
Appliance_Refrigerator_Freezer.csv,Refrigerator_Freezer_Missing_Model_Reason,NO NAMEPLATE
Appliance_Refrigerator_Freezer.csv,Refrigerator_Freezer_Missing_Model_Reason,OTHER
Appliance_Refrigerator_Freezer.csv,Room_Type,Basement
Appliance_Refrigerator_Freezer.csv,Room_Type,Bathroom
Appliance_Refrigerator_Freezer.csv,Room_Type,Bedroom
Appliance_Refrigerator_Freezer.csv,Room_Type,Closet
Appliance_Refrigerator_Freezer.csv,Room_Type,Crawlspace
Appliance_Refrigerator_Freezer.csv,Room_Type,Dining Room
Appliance_Refrigerator_Freezer.csv,Room_Type,Entry/Entryway
Appliance_Refrigerator_Freezer.csv,Room_Type,Family Room
Appliance_Refrigerator_Freezer.csv,Room_Type,Garage
Appliance_Refrigerator_Freezer.csv,Room_Type,Hallway
Appliance_Refrigerator_Freezer.csv,Room_Type,Kitchen
Appliance_Refrigerator_Freezer.csv,Room_Type,Laundry
Appliance_Refrigerator_Freezer.csv,Room_Type,Living Room
Appliance_Refrigerator_Freezer.csv,Room_Type,Mechanical
Appliance_Refrigerator_Freezer.csv,Room_Type,Office
Appliance_Refrigerator_Freezer.csv,Room_Type,Other
Appliance_Refrigerator_Freezer.csv,Room_Type,Outbuilding / Addition
Appliance_Refrigerator_Freezer.csv,Room_Type,Outside
Appliance_Refrigerator_Freezer.csv,Size_Is_Estimated,Estimated
Appliance_Refrigerator_Freezer.csv,Size_Is_Estimated,Measured or Known
Appliance_Refrigerator_Freezer.csv,Type,Chest Freezer
Appliance_Refrigerator_Freezer.csv,Type,Full Size Single Refrigerator Only
Appliance_Refrigerator_Freezer.csv,Type,Mini-Fridge
Appliance_Refrigerator_Freezer.csv,Type,R/F Bottom Freezer
Appliance_Refrigerator_Freezer.csv,Type,R/F Top Freezer
Appliance_Refrigerator_Freezer.csv,Type,Side by Side Refrigerator/Freezer
Appliance_Refrigerator_Freezer.csv,Type,Side by Side Refrigerators Only
Appliance_Refrigerator_Freezer.csv,Type,Side by Side w/ Bottom Freezer
Appliance_Refrigerator_Freezer.csv,Type,Upright Full Size Single Freezer Only
Appliance_Refrigerator_Freezer.csv,Wifi_Enabled,No
Appliance_Refrigerator_Freezer.csv,Wifi_Enabled,Yes
Appliance_Stove_Oven.csv,Oven_Fuel,Electric
Appliance_Stove_Oven.csv,Oven_Fuel,Natural Gas
Appliance_Stove_Oven.csv,Oven_Fuel,Other
Appliance_Stove_Oven.csv,Oven_Fuel,Propane
Appliance_Stove_Oven.csv,Oven_Fuel,Wood (cord)
Appliance_Stove_Oven.csv,Oven_Single_Or_Double,Double Oven
Appliance_Stove_Oven.csv,Oven_Single_Or_Double,Single Oven
Appliance_Stove_Oven.csv,Oven_Type,Both
Appliance_Stove_Oven.csv,Oven_Type,Convection
Appliance_Stove_Oven.csv,Oven_Type,Radiant
Appliance_Stove_Oven.csv,Primary,No
Appliance_Stove_Oven.csv,Primary,Yes
Appliance_Stove_Oven.csv,Room_Type,Basement
Appliance_Stove_Oven.csv,Room_Type,Bedroom
Appliance_Stove_Oven.csv,Room_Type,Closet
Appliance_Stove_Oven.csv,Room_Type,Dining Room
Appliance_Stove_Oven.csv,Room_Type,Family Room
Appliance_Stove_Oven.csv,Room_Type,Garage
Appliance_Stove_Oven.csv,Room_Type,Kitchen
Appliance_Stove_Oven.csv,Room_Type,Laundry
Appliance_Stove_Oven.csv,Room_Type,Living Room
Appliance_Stove_Oven.csv,Room_Type,Mechanical
Appliance_Stove_Oven.csv,Room_Type,Office
Appliance_Stove_Oven.csv,Room_Type,Other
Appliance_Stove_Oven.csv,Room_Type,Outbuilding / Addition
Appliance_Stove_Oven.csv,Stove_Fuel,Electric
Appliance_Stove_Oven.csv,Stove_Fuel,Natural Gas
Appliance_Stove_Oven.csv,Stove_Fuel,Propane
Appliance_Stove_Oven.csv,Stove_Fuel,Wood (cord)
Appliance_Stove_Oven.csv,Stove_Oven_Missing_Model_Reason,NAMEPLATE IS ILLEGIBLE
Appliance_Stove_Oven.csv,Stove_Oven_Missing_Model_Reason,NO NAMEPLATE
Appliance_Stove_Oven.csv,Stove_Oven_Missing_Model_Reason,OTHER
Appliance_Stove_Oven.csv,Stove_Type,Coils
Appliance_Stove_Oven.csv,Stove_Type,Combustion
Appliance_Stove_Oven.csv,Stove_Type,Glass Top
Appliance_Stove_Oven.csv,Stove_Type,Induction
Appliance_Stove_Oven.csv,Stove_Type,Other
Appliance_Stove_Oven.csv,Type,Mini-oven (standalone / wall)
Appliance_Stove_Oven.csv,Type,Oven (standalone / wall)
Appliance_Stove_Oven.csv,Type,Stove / Oven combo
Appliance_Stove_Oven.csv,Type,Stovetop
Appliance_Stove_Oven.csv,Wifi_Enabled,No
Appliance_Stove_Oven.csv,Wifi_Enabled,Yes
Appliance_Television.csv,DVR_Present,No
Appliance_Television.csv,DVR_Present,Yes
Appliance_Television.csv,Energy_Star,No
Appliance_Television.csv,Energy_Star,Yes
Appliance_Television.csv,Primary,All used about the same
Appliance_Television.csv,Primary,Primary
Appliance_Television.csv,Primary,Secondary
Appliance_Television.csv,Primary,Used less
Appliance_Television.csv,Room_Type,Basement
Appliance_Television.csv,Room_Type,Bathroom
Appliance_Television.csv,Room_Type,Bedroom
Appliance_Television.csv,Room_Type,Dining Room
Appliance_Television.csv,Room_Type,Entry/Entryway
Appliance_Television.csv,Room_Type,Family Room
Appliance_Television.csv,Room_Type,Garage
Appliance_Television.csv,Room_Type,Hallway
Appliance_Television.csv,Room_Type,Kitchen
Appliance_Television.csv,Room_Type,Laundry
Appliance_Television.csv,Room_Type,Living Room
Appliance_Television.csv,Room_Type,Mechanical
Appliance_Television.csv,Room_Type,Office
Appliance_Television.csv,Room_Type,Other
Appliance_Television.csv,Room_Type,Outbuilding / Addition
Appliance_Television.csv,Room_Type,Outside
Appliance_Television.csv,STB_Present,No
Appliance_Television.csv,STB_Present,Yes
Appliance_Television.csv,Size_Is_Estimated,Estimated
Appliance_Television.csv,Size_Is_Estimated,Measured or Known
Appliance_Television.csv,TV_Resolution,FHD (1080p)
Appliance_Television.csv,TV_Resolution,High Definition (720p)
Appliance_Television.csv,TV_Resolution,Other
Appliance_Television.csv,TV_Resolution,Standard Definition
Appliance_Television.csv,TV_Resolution,UHD (4080p) - 4K
Appliance_Television.csv,TV_Resolution,XUHD (8096p) - 8K
Appliance_Television.csv,TV_Screen_Surface,Curved
Appliance_Television.csv,TV_Screen_Surface,Flat
Appliance_Television.csv,TV_Screen_Surface,None (Projector)
Appliance_Television.csv,TV_Screen_Type,LCD - Fluorescent
Appliance_Television.csv,TV_Screen_Type,LCD - LED
Appliance_Television.csv,TV_Screen_Type,OLED
Appliance_Television.csv,TV_Screen_Type,Other
Appliance_Television.csv,TV_Screen_Type,Plasma
Appliance_Television.csv,TV_Screen_Type,Projector (Non-CRT)
Appliance_Television.csv,TV_Screen_Type,QLED
Appliance_Television.csv,TV_Screen_Type,Tube (CRT and internal or rear projector)
Appliance_Television.csv,TV_Wifi,No
Appliance_Television.csv,TV_Wifi,Yes
Appliance_Television.csv,Wattage_Is_Estimated,Estimated
Appliance_Television.csv,Wattage_Is_Estimated,Measured or Known
Appliance_Thermostat.csv,Energy_Star,No
Appliance_Thermostat.csv,Energy_Star,Yes
Appliance_Thermostat.csv,Programmed,No
Appliance_Thermostat.csv,Programmed,Yes
Appliance_Thermostat.csv,Room_Type,Attic
Appliance_Thermostat.csv,Room_Type,Basement
Appliance_Thermostat.csv,Room_Type,Bathroom
Appliance_Thermostat.csv,Room_Type,Bedroom
Appliance_Thermostat.csv,Room_Type,Closet
Appliance_Thermostat.csv,Room_Type,Crawlspace
Appliance_Thermostat.csv,Room_Type,Dining Room
Appliance_Thermostat.csv,Room_Type,Entry/Entryway
Appliance_Thermostat.csv,Room_Type,Family Room
Appliance_Thermostat.csv,Room_Type,Garage
Appliance_Thermostat.csv,Room_Type,Hallway
Appliance_Thermostat.csv,Room_Type,Kitchen
Appliance_Thermostat.csv,Room_Type,Laundry
Appliance_Thermostat.csv,Room_Type,Living Room
Appliance_Thermostat.csv,Room_Type,Mechanical
Appliance_Thermostat.csv,Room_Type,Office
Appliance_Thermostat.csv,Room_Type,Other
Appliance_Thermostat.csv,Room_Type,Outbuilding / Addition
Appliance_Thermostat.csv,System_Controlled,Central System
Appliance_Thermostat.csv,System_Controlled,Zonal System
Appliance_Thermostat.csv,Thermostat_Wifi_Controls_Used,No
Appliance_Thermostat.csv,Thermostat_Wifi_Controls_Used,Yes
Appliance_Thermostat.csv,Type,Additional Thermostat Temperature Sensor
Appliance_Thermostat.csv,Type,Manual thermostat - Analog
Appliance_Thermostat.csv,Type,Manual thermostat - Digital
Appliance_Thermostat.csv,Type,On/off
Appliance_Thermostat.csv,Type,Programmable thermostat
Appliance_Thermostat.csv,Type,Smart thermostat
Appliance_Thermostat.csv,Type,Smart/Wi-Fi thermostat
