Table,Variable,Position,Units,Variable type,Variable Description / Question Text,2017 Table,2017 Variable,2011 Table,2011 Variable
Appliance_GameConsole.csv,PK_ApplianceID,3,,ID,Appliance ID,Appliance_GameConsole.csv,PK_ApplianceID,SFgame,game_it
Appliance_GameConsole.csv,Model,4,,Single Choice selection,System Type,Appliance_GameConsole.csv,Model,SFgame,Game_Brand
Appliance_GameConsole.csv,Vintage,5,,integer,Year manufactured,Appliance_GameConsole.csv,Vintage,,
Appliance_GameConsole.csv,Wifi_Enabled,6,,Single Choice selection,Wi-fi capable,Appliance_GameConsole.csv,Wifi Enabled,SFgame,Game_Internet
Appliance_GameConsole.csv,Used_for_DVD_or_Bluray,7,,Single Choice selection,Is it used to play DVDs or Blu-ray movies?,Appliance_GameConsole.csv,Used for DVD or Bluray,SFgame,Game_VideoPlayer
Appliance_GameConsole.csv,Room_Type,8,,Single Choice selection,Room Type,Appliance_GameConsole.csv,Room Type,,
Appliance_LargeUnusualLoad.csv,CK_SiteID,1,,ID,Site ID,Appliance_LargeUnusualLoad.csv,CK_SiteID,SFlrg_unusual_load,siteid
Appliance_LargeUnusualLoad.csv,CK_RoomID,2,,ID,Room ID,Appliance_LargeUnusualLoad.csv,CK_RoomID,SFlrg_unusual_load,LUL_Location
Appliance_LargeUnusualLoad.csv,PK_ApplianceID,3,,ID,Appliance ID,Appliance_LargeUnusualLoad.csv,PK_ApplianceID,SFlrg_unusual_load,load_it
Appliance_LargeUnusualLoad.csv,Type,4,,Single Choice selection,Equipment Type,Appliance_LargeUnusualLoad.csv,Type,SFlrg_unusual_load,LUL_Type
Appliance_LargeUnusualLoad.csv,Type_Other,5,,long_text,Other SPECIFY:,Appliance_LargeUnusualLoad.csv,Large Unusual Load Type,,
Appliance_LargeUnusualLoad.csv,Make,6,,text,Make,Appliance_LargeUnusualLoad.csv,Make,,
Appliance_LargeUnusualLoad.csv,Model,7,,long_text,Model,Appliance_LargeUnusualLoad.csv,Model,,
Appliance_LargeUnusualLoad.csv,Vintage,8,,integer,Year manufactured,Appliance_LargeUnusualLoad.csv,Vintage,,
Appliance_LargeUnusualLoad.csv,Energy_Star,9,,Single Choice selection,Energy Star,Appliance_LargeUnusualLoad.csv,Energy Star,,
Appliance_LargeUnusualLoad.csv,Room_Type,10,,Single Choice selection,Room Type,Appliance_LargeUnusualLoad.csv,Room Type,,
Appliance_Laundry.csv,CK_SiteID,1,,ID,Site ID,Appliance_ClothesDryer.csv; Appliance_ClothesWasher.csv,CK_SiteID,Sfdryer; Sfclwasher,siteid
Appliance_Laundry.csv,CK_RoomID,2,,ID,Room ID,Appliance_ClothesDryer.csv; Appliance_ClothesWasher.csv,CK_RoomID,,
Appliance_Laundry.csv,PK_ApplianceID,3,,ID,Appliance ID,Appliance_ClothesDryer.csv; Appliance_ClothesWasher.csv,PK_ApplianceID,Sfdryer; Sfclwasher,clotheswasher_it; dryer_it
Appliance_Laundry.csv,Type,4,,Single Choice selection,Laundry Equipment Type,,,,
Appliance_Laundry.csv,Make,5,,Single Choice selection,Make,Appliance_ClothesDryer.csv; Appliance_ClothesWasher.csv,,Sfclwasher,WasherManu
Appliance_Laundry.csv,Make_Other,6,,long_text,Other SPECIFY:,,,,
Appliance_Laundry.csv,Model,7,,long_text,Model,Appliance_ClothesDryer.csv; Appliance_ClothesWasher.csv,,,
Appliance_Laundry.csv,Laundry_Missing_Model_Reason,8,,Single Choice selection,Reason why model number isn’t available?,,,,
Appliance_Laundry.csv,Laundry_Missing_Model_Reason_Other,9,,long_text,Other SPECIFY:,,,,
Appliance_Laundry.csv,Vintage,10,,integer,Year manufactured,Appliance_ClothesDryer.csv; Appliance_ClothesWasher.csv,Vintage,Sfdryer; Sfwasher,DryerYear; WasherYear
Appliance_Laundry.csv,Serial,11,,text,Serial Number,Appliance_ClothesDryer.csv; Appliance_ClothesWasher.csv,Serial,,
Appliance_Laundry.csv,Energy_Star,12,,Single Choice selection,Energy Star,Appliance_ClothesDryer.csv; Appliance_ClothesWasher.csv,Energy Star,,
Appliance_Laundry.csv,Wifi_Enabled,13,,Single Choice selection,Wi-fi capable,Appliance_ClothesDryer.csv; Appliance_ClothesWasher.csv,Wifi Enabled,,
Appliance_Laundry.csv,Primary,14,,Single Choice selection,Primary,Appliance_ClothesDryer.csv; Appliance_ClothesWasher.csv,Primary Dryer; Washer Primary,,
Appliance_Laundry.csv,Washer_Axis,15,,Single Choice selection,Is the washer a Top-Loader or Front-Loader?,Appliance_ClothesWasher.csv,Type,SFclwasher,WasherType
Appliance_Laundry.csv,Washer_Diameter,16,in.,decimal,Drum diameter (inches),Appliance_ClothesWasher.csv,Washer Diameter,,
Appliance_Laundry.csv,Washer_Diameter_Is_Estimated,17,,Single Choice selection,Dimensions are estimated?,,,,
Appliance_Laundry.csv,Washer_Depth,18,in.,decimal,Drum depth (inches),Appliance_ClothesWasher.csv,Washer Depth,,
Appliance_Laundry.csv,Washer_Depth_Is_Estimated,19,,Single Choice selection,Dimensions are estimated?,,,,
Appliance_Laundry.csv,Washer_Size_Cubic_Feet,20,Cu ft,decimal,Size (cu ft) (enter ONLY if available from nameplate; otherwise measure depth and diameter),Appliance_ClothesWasher.csv,Washer Size,,
Appliance_Laundry.csv,Washer_Size_Is_Estimated,21,,Single Choice selection,Dimensions are estimated?,,,,
Appliance_Laundry.csv,Dryer_Fuel,22,,Single Choice selection,Fuel Type,Appliance_ClothesDryer.csv,Dryer Fuel,Sfdryer,DryerFuel
Appliance_Laundry.csv,Dryer_Vented,23,,Single Choice selection,Dryer is vented?,Appliance_ClothesDryer.csv,Dryer Vented,,
Appliance_Laundry.csv,Heat_Pump_Dryer,24,,Single Choice selection,Heat pump clothes dryer?,Appliance_ClothesDryer.csv,Heat Pump Dryer,,
Appliance_Laundry.csv,Dryer_Gas_Line_Available,25,,Single Choice selection,Is there an existing gas line connection available for the dryer? (In the immediate vicinity of the dryer),Appliance_ClothesDryer.csv,Dryer Gas Line Available,,
Appliance_Laundry.csv,Washer_Dryer_Matched_Pair,26,,Single Choice selection,Washer / Dryer Matched Pair?,Appliance_ClothesDryer.csv; Appliance_ClothesWasher.csv,Washer-Dryer Matched Pair,,
Appliance_One_Line.csv,CK_SiteID,1,,ID,Site ID,,,,
Appliance_One_Line.csv,Building_Type,2,,Single Choice selection,Building Type,,,,
Appliance_One_Line.csv,Building_Category,3,,Single Choice selection,Building Category,,,,
Appliance_One_Line.csv,City,4,,text,Site City,,,,
Appliance_One_Line.csv,County,5,,Single Choice selection,County,,,,
Appliance_One_Line.csv,State,6,,Single Choice selection,State,,,,
Appliance_One_Line.csv,Zip,7,,text,Zip Code,,,,
Appliance_One_Line.csv,Region_SF_StrataVar,8,,Single Choice selection,BPA Subregion,,,,
Appliance_One_Line.csv,Attached_Detached_SF_StrataVar,9,,Single Choice selection,Single-family weighting variable: attached or detached,,,,
Appliance_One_Line.csv,BPA_SF_StrataVar,10,,Single Choice selection,Single-family weighting variable: BPA electric utility,,,,
Appliance_One_Line.csv,Sample_SF_StrataVar,11,,Single Choice selection,Single-family weighting variable: Core or Oversample,,,,
Appliance_One_Line.csv,NWN_SF_StrataVar,12,,Single Choice selection,Single-family weighting variable: Northwest Natural Gas Service,,,,
Appliance_One_Line.csv,Height_Class_MF_StrataVar,13,,Single Choice selection,Multi-family weighting variable: building height class,,,,
Appliance_One_Line.csv,Strata_Territory,14,,Single Choice selection,Strata Name,,,,
Appliance_One_Line.csv,Site_Case_Weight,15,,decimal,Site weight,,,,
Appliance_One_Line.csv,Strata_Population_Estimate,16,,decimal,Estimate of the strata's population,,,,
Appliance_One_Line.csv,Electric_Utility,17,,Single Choice selection,Electric Utility,,,,
Appliance_One_Line.csv,EIA_Electric_Utility_ID,18,,ID,Electric Utility ID,,,,
Appliance_One_Line.csv,Electric_Utility_BPA,19,,Single Choice selection,BPA utility flag,,,,
Appliance_One_Line.csv,Gas_Utility,20,,Single Choice selection,Gas Utility,,,,
Appliance_One_Line.csv,Conditioned_Area,21,Sq ft,decimal,Conditioned Area of home,,,,
Appliance_One_Line.csv,Conditioned_Volume,22,Cu ft,decimal,Home volume,,,,
Appliance_One_Line.csv,Qty_Rooms,23,,integer,Number of rooms,,,,
Appliance_One_Line.csv,Qty_Bedrooms,24,,integer,Number of bedrooms,,,,
Appliance_One_Line.csv,Qty_Bathrooms,25,,decimal,Number of bathrooms,,,,
Appliance_One_Line.csv,Cooling_Zone,26,,integer,Cooling Zone (based on RTF cooling zone assignments),,,,
Appliance_One_Line.csv,Heating_Zone,27,,integer,Heating Zone (based on RTF heating zone assignments),,,,
Appliance_One_Line.csv,Home_Vintage,28,,integer,Home vintage,,,,
Appliance_One_Line.csv,Ownership,29,,Single Choice selection,Do You Rent or Own this home?,,,,
Appliance_One_Line.csv,Qty_Occupants,30,,integer,Number of occupants,,,,
Appliance_One_Line.csv,TVs_Total,31,,integer,Count of ____,,,,
Appliance_One_Line.csv,TVs_EnergyStar,32,,integer,Count of ____,,,,
Appliance_One_Line.csv,TVs_LCD_._Fluorescent,33,,integer,Count of ____,,,,
Appliance_One_Line.csv,TVs_LCD_._LED,34,,integer,Count of ____,,,,
Appliance_One_Line.csv,TVs_OLED,35,,integer,Count of ____,,,,
Appliance_One_Line.csv,TVs_QLED,36,,integer,Count of ____,,,,
Appliance_One_Line.csv,TVs_Plasma,37,,integer,Count of ____,,,,
Appliance_One_Line.csv,TVs_Projector_(Non-CRT),38,,integer,Count of ____,,,,
Appliance_One_Line.csv,TVs_Tube_(CRT_and_internal_or_rear_projector),39,,integer,Count of ____,,,,
Appliance_One_Line.csv,TVs_Other,40,,integer,Count of ____,,,,
Appliance_One_Line.csv,TVs_Unknown,41,,integer,Count of ____,,,,
Appliance_One_Line.csv,Laundry_Washer_Total,42,,integer,Count of ____,,,,
Appliance_One_Line.csv,Laundry_Washer_EnergyStar,43,,integer,Count of ____,,,,
Appliance_One_Line.csv,Laundry_Washer_Axis_Horizontal,44,,integer,Count of ____,,,,
Appliance_One_Line.csv,Laundry_Washer_Axis_Vertical,45,,integer,Count of ____,,,,
Appliance_One_Line.csv,Laundry_Washer_Axis_Unknown,46,,integer,Count of ____,,,,
Appliance_One_Line.csv,Laundry_Dryer_Total,47,,integer,Count of ____,,,,
Appliance_One_Line.csv,Laundry_Dryer_EnergyStar,48,,integer,Count of ____,,,,
Appliance_One_Line.csv,Laundry_Dryer_Electric,49,,integer,Count of ____,,,,
Appliance_One_Line.csv,Laundry_Dryer_Natural_Gas,50,,integer,Count of ____,,,,
Appliance_One_Line.csv,Laundry_Dryer_Propane,51,,integer,Count of ____,,,,
Appliance_One_Line.csv,Laundry_Dryer_Other,52,,integer,Count of ____,,,,
Appliance_One_Line.csv,Laundry_Dryer_Unknown,53,,integer,Count of ____,,,,
Appliance_One_Line.csv,Laundry_Dryer_IsHeatPump,54,,integer,Count of ____,,,,
Appliance_One_Line.csv,Refrigerator_Total,55,,integer,Count of ____,,,,
Appliance_One_Line.csv,Refrigerator_EnergyStar,56,,integer,Count of ____,,,,
Appliance_One_Line.csv,Refrigerator_RF_Top_Freezer,57,,integer,Count of ____,,,,
Appliance_One_Line.csv,Refrigerator_RF_Bottom_Freezer,58,,integer,Count of ____,,,,
Appliance_One_Line.csv,Refrigerator_Full_Size_R_Only,59,,integer,Count of ____,,,,
Appliance_One_Line.csv,Refrigerator_SideBySide_RF,60,,integer,Count of ____,,,,
Appliance_One_Line.csv,Refrigerator_SideBySide_R_Only,61,,integer,Count of ____,,,,
Appliance_One_Line.csv,Refrigerator_SideBySide_RF_Bottom_Freezer,62,,integer,Count of ____,,,,
Appliance_One_Line.csv,Refrigerator_Mini,63,,integer,Count of ____,,,,
Appliance_One_Line.csv,Refrigerator_Unknown,64,,integer,Count of ____,,,,
Appliance_One_Line.csv,Freezer_Total,65,,integer,Count of ____,,,,
Appliance_One_Line.csv,Freezer_EnergyStar,66,,integer,Count of ____,,,,
Appliance_One_Line.csv,Freezer_Chest,67,,integer,Count of ____,,,,
Appliance_One_Line.csv,Freezer_Upright_Full_Size_F_Only,68,,integer,Count of ____,,,,
Appliance_One_Line.csv,Game_Console_Total,69,,integer,Count of ____,,,,
Appliance_One_Line.csv,Power_Strip_Total,70,,integer,Count of ____,,,,
Appliance_One_Line.csv,Stove_Oven_Total,71,,integer,Count of ____,,,,
Appliance_One_Line.csv,Stove_Oven_StoveOvenCombo,72,,integer,Count of ____,,,,
Appliance_One_Line.csv,Stove_Oven_StoveOvenCombo_BothGas,73,,integer,Count of ____,,,,
Appliance_One_Line.csv,Stove_Oven_StoveOvenCombo_BothElec,74,,integer,Count of ____,,,,
Appliance_One_Line.csv,Stove_Oven_StoveOvenCombo_BothOther,75,,integer,Count of ____,,,,
Appliance_One_Line.csv,Stove_Oven_StoveOvenCombo_StoveGas_OvenElec,76,,integer,Count of ____,,,,
Appliance_One_Line.csv,Stove_Oven_StoveOvenCombo_StoveGas_OvenOther,77,,integer,Count of ____,,,,
Appliance_One_Line.csv,Stove_Oven_StoveOvenCombo_StoveElec_OvenGas,78,,integer,Count of ____,,,,
Appliance_One_Line.csv,Stove_Oven_StoveOvenCombo_StoveElec_OvenOther,79,,integer,Count of ____,,,,
Appliance_One_Line.csv,Stove_Oven_StoveOvenCombo_StoveOther_OvenElec,80,,integer,Count of ____,,,,
Appliance_One_Line.csv,Stove_Oven_StoveOvenCombo_StoveOther_OvenGas,81,,integer,Count of ____,,,,
Appliance_One_Line.csv,Stove_Oven_Stovetop,82,,integer,Count of ____,,,,
Appliance_One_Line.csv,Stove_Oven_Stovetop_Gas,83,,integer,Count of ____,,,,
Appliance_One_Line.csv,Stove_Oven_Stovetop_Elec,84,,integer,Count of ____,,,,
Appliance_One_Line.csv,Stove_Oven_Stovetop_Other,85,,integer,Count of ____,,,,
Appliance_One_Line.csv,Stove_Oven_Oven_Wall_FullSize,86,,integer,Count of ____,,,,
Appliance_One_Line.csv,Stove_Oven_Oven_Wall_FullSize_Gas,87,,integer,Count of ____,,,,
Appliance_One_Line.csv,Stove_Oven_Oven_Wall_FullSize_Elec,88,,integer,Count of ____,,,,
Appliance_One_Line.csv,Stove_Oven_Oven_Wall_FullSize_Other,89,,integer,Count of ____,,,,
Appliance_One_Line.csv,Stove_Oven_Oven_Wall_Mini,90,,integer,Count of ____,,,,
Appliance_One_Line.csv,Stove_Oven_Oven_Wall_Mini_Gas,91,,integer,Count of ____,,,,
Appliance_One_Line.csv,Stove_Oven_Oven_Wall_Mini_Elec,92,,integer,Count of ____,,,,
Appliance_One_Line.csv,Stove_Oven_Oven_Wall_Mini_Other,93,,integer,Count of ____,,,,
Appliance_One_Line.csv,Thermostat_Total,94,,integer,Count of ____,,,,
Appliance_One_Line.csv,Thermostat_EnergyStar,95,,integer,Count of ____,,,,
Appliance_One_Line.csv,Thermostat_Smart_Wi-Fi,96,,integer,Count of ____,,,,
Appliance_One_Line.csv,Thermostat_Smart,97,,integer,Count of ____,,,,
Appliance_One_Line.csv,Thermostat_Wi-Fi_Enabled,98,,integer,Count of ____,,,,
Appliance_One_Line.csv,Thermostat_Programmable,99,,integer,Count of ____,,,,
Appliance_One_Line.csv,Thermostat_Manual_Digital,100,,integer,Count of ____,,,,
Appliance_One_Line.csv,Thermostat_Manual_Analog,101,,integer,Count of ____,,,,
Appliance_One_Line.csv,Thermostat_Timer,102,,integer,Count of ____,,,,
Appliance_One_Line.csv,Thermostat_On_Off,103,,integer,Count of ____,,,,
Appliance_One_Line.csv,Air_Cleaner_Total,104,,integer,Count of ____,,,,
Appliance_One_Line.csv,Air_Cleaner_EnergyStar,105,,integer,Count of ____,,,,
Appliance_One_Line.csv,Smart_Speaker_Total,106,,integer,Count of ____,,,,
Appliance_One_Line.csv,Computer_Total,107,,integer,Count of ____,,,,
Appliance_One_Line.csv,Computer_Laptop_Total,108,,integer,Count of ____,,,,
Appliance_One_Line.csv,Computer_Laptop_EnergyStar,109,,integer,Count of ____,,,,
Appliance_One_Line.csv,Computer_Desktop_Total,110,,integer,Count of ____,,,,
