"SiteID","RoomID","ApplianceID","Type","Make","Model","Vintage","Serial","Energy_Star","Programmed","Thermostat_Wifi_Controls_Used","System_Controlled","Room_Type"
"SITE_898","ROOM_5009","APPL_145407","Programmable thermostat","Honeywell","PRO SERIES","Unknown","UNKNOWN","No","Yes",NA,"Central System","Bedroom"
"SITE_899","ROOM_1851","APPL_48500","Programmable thermostat","Honeywell","TH6110D1005","Unknown","UNKNOWN","No","Yes",NA,"Central System","Living Room"
"SITE_9","ROOM_17498","APPL_116283","Programmable thermostat","Honeywell","UNKNOWN","Unknown","UNKNOWN","Yes","Yes",NA,"Central System","Dining Room"
"SITE_90","ROOM_46166","APPL_109921","Programmable thermostat","Sears","UNKNOWN","Unknown","UNKNOWN","No","Unknown",NA,"Central System","Living Room"
"SITE_900","ROOM_20248","APPL_72942","Manual thermostat - Digital","King","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Entry/Entryway"
"SITE_900","ROOM_9061","APPL_138598","Programmable thermostat","Sanyo","RCS-4HVPIS4U","Unknown","UNKNOWN","No","No",NA,"Zonal System","Living Room"
"SITE_900","ROOM_9061","APPL_53222","Manual thermostat - Digital","Cadet","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Living Room"
"SITE_900","ROOM_9061","APPL_83210","Manual thermostat - Digital","King","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Living Room"
"SITE_900","ROOM_14916","APPL_170852","Manual thermostat - Analog","Cadet","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Bathroom"
"SITE_900","ROOM_20495","APPL_98141","Manual thermostat - Analog","Cadet","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Bedroom"
"SITE_900","ROOM_25823","APPL_25090","Manual thermostat - Analog","Cadet","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Bedroom"
"SITE_900","ROOM_20268","APPL_72435","Manual thermostat - Digital","King","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Bedroom"
"SITE_900","ROOM_30301","APPL_19987","Manual thermostat - Digital","King","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Bathroom"
"SITE_900","ROOM_39460","APPL_161112","Manual thermostat - Analog","Unknown","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Garage"
"SITE_901","ROOM_20910","APPL_116645","Programmable thermostat","Honeywell","UNKNOWN","Unknown","UNKNOWN","No","Yes",NA,"Central System","Living Room"
"SITE_902","ROOM_137","APPL_130480","Programmable thermostat","Synapse","UNKNOWN","Unknown","UNKNOWN","Unknown","No",NA,"Zonal System","Bathroom"
"SITE_902","ROOM_8978","APPL_144439","Programmable thermostat","Honeywell","UNKNOWN","Unknown","UNKNOWN","Unknown","No",NA,"Central System","Hallway"
"SITE_903","ROOM_44134","APPL_151182","Manual thermostat - Analog","King","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Bathroom"
"SITE_903","ROOM_20898","APPL_120753","Manual thermostat - Analog","Unknown","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Kitchen"
"SITE_903","ROOM_28320","APPL_143262","Manual thermostat - Analog","Mears","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Laundry"
"SITE_903","ROOM_35165","APPL_69891","Manual thermostat - Analog","Mears","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Entry/Entryway"
"SITE_903","ROOM_31290","APPL_68351","Manual thermostat - Analog","Unknown","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Bathroom"
"SITE_903","ROOM_14132","APPL_44840","Manual thermostat - Analog","Mears","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Bedroom"
"SITE_903","ROOM_11101","APPL_70109","Manual thermostat - Analog","Honeywell","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Living Room"
"SITE_903","ROOM_12548","APPL_153273","Manual thermostat - Analog","Mears","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Dining Room"
"SITE_903","ROOM_41309","APPL_63692","Manual thermostat - Analog","Unknown","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Bedroom"
"SITE_903","ROOM_40899","APPL_102961","Manual thermostat - Analog","Mears","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Bathroom"
"SITE_903","ROOM_11","APPL_63512","Manual thermostat - Analog","Unknown","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Bedroom"
"SITE_903","ROOM_848","APPL_111057","Manual thermostat - Analog","Unknown","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Bedroom"
"SITE_904","ROOM_41342","APPL_125640","Programmable thermostat","White Rodgers","UNKNOWN","Unknown","UNKNOWN","No","No",NA,"Central System","Living Room"
"SITE_905","ROOM_39219","APPL_74957","Programmable thermostat","Honeywell","UNKNOWN","Unknown","UNKNOWN","Unknown","Yes",NA,"Central System","Hallway"
"SITE_906","ROOM_12478","APPL_117792","Programmable thermostat","Lux","TX500E","Unknown","UNKNOWN","No","Yes",NA,"Central System","Living Room"
"SITE_907","ROOM_40106","APPL_54538","Manual thermostat - Analog","Honeywell","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Central System","Family Room"
"SITE_908","ROOM_2113","APPL_89763","Manual thermostat - Analog","Cadet","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Office"
"SITE_908","ROOM_9377","APPL_9409","Manual thermostat - Analog","Cadet","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Family Room"
"SITE_908","ROOM_35115","APPL_160148","Manual thermostat - Analog","Cadet","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Kitchen"
"SITE_908","ROOM_23056","APPL_113053","Manual thermostat - Analog","Cadet","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Living Room"
"SITE_908","ROOM_18523","APPL_108486","Manual thermostat - Analog","Cadet","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Bedroom"
"SITE_908","ROOM_33796","APPL_45254","Manual thermostat - Analog","Cadet","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Bathroom"
"SITE_908","ROOM_33710","APPL_109681","Manual thermostat - Analog","Cadet","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Bathroom"
"SITE_908","ROOM_18359","APPL_113208","Manual thermostat - Analog","Cadet","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Bedroom"
"SITE_908","ROOM_15046","APPL_16737","Manual thermostat - Analog","Cadet","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Bedroom"
"SITE_909","ROOM_11993","APPL_62534","Programmable thermostat","Honeywell","UNKNOWN","Unknown","UNKNOWN","No","No",NA,"Central System","Kitchen"
"SITE_91","ROOM_37557","APPL_97865","Programmable thermostat","Honeywell","UNKNOWN","Unknown","UNKNOWN","No","Yes",NA,"Central System","Living Room"
"SITE_910","ROOM_4734","APPL_124268","Programmable thermostat","Honeywell","PROSERIES","Unknown","UNKNOWN","No","Yes",NA,"Central System","Living Room"
"SITE_911","ROOM_31623","APPL_61616","Additional Thermostat Temperature Sensor","Acu rite","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Unknown","Bedroom"
"SITE_911","ROOM_31623","APPL_31440","Additional Thermostat Temperature Sensor","Ambient weather","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Unknown","Bedroom"
"SITE_911","ROOM_16407","APPL_147101","Programmable thermostat","Water Furnace","UNKNOWN","Unknown","UNKNOWN","No","Yes",NA,"Central System","Living Room"
"SITE_911","ROOM_42104","APPL_149191","Additional Thermostat Temperature Sensor","Acu rite","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Unknown","Kitchen"
"SITE_911","ROOM_5417","APPL_119870","Manual thermostat - Analog","King","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Outbuilding / Addition"
"SITE_911","ROOM_5417","APPL_116485","Manual thermostat - Analog","Honeywell","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Outbuilding / Addition"
"SITE_912","ROOM_41557","APPL_166860","Programmable thermostat","Honeywell","UNKNOWN","Unknown","UNKNOWN","No","Yes",NA,"Central System","Living Room"
"SITE_912","ROOM_19811","APPL_113115","Manual thermostat - Digital","Aube","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Bathroom"
"SITE_913","ROOM_20092","APPL_51456","Smart thermostat","Google Nest","NEST","Unknown","UNKNOWN","Unknown","Yes","Yes","Central System","Living Room"
"SITE_914","ROOM_39570","APPL_61995","Manual thermostat - Analog","Columbus Electric","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Family Room"
"SITE_914","ROOM_40002","APPL_560","Programmable thermostat","Honeywell","PROSERIES","Unknown","UNKNOWN","No","Yes",NA,"Central System","Kitchen"
"SITE_915","ROOM_36380","APPL_13435","Manual thermostat - Analog","Honeywell","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Central System","Entry/Entryway"
"SITE_916","ROOM_1097","APPL_16427","Manual thermostat - Analog","Honeywell","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Central System","Bedroom"
"SITE_917","ROOM_24593","APPL_40452","Manual thermostat - Digital","Honeywell","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Central System","Kitchen"
"SITE_918","ROOM_43130","APPL_143948","Manual thermostat - Digital","Totaline","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Central System","Living Room"
"SITE_919","ROOM_32407","APPL_141597","Programmable thermostat","Maple Chase","09600","Unknown","UNKNOWN","No","Yes",NA,"Central System","Living Room"
"SITE_92","ROOM_36592","APPL_148394","Wi-Fi enabled thermostat","Honeywell","TH4110U2005","Unknown","2144JJC86398","Yes","No","No","Central System","Hallway"
"SITE_920","ROOM_16834","APPL_111471","Manual thermostat - Digital","Mince heat","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Family Room"
"SITE_920","ROOM_2182","APPL_87183","Smart/Wi-Fi thermostat","Honeywell","THX9421R5021","Unknown","UNKNOWN","Unknown","Yes","Yes","Central System","Entry/Entryway"
"SITE_921","ROOM_18613","APPL_165300","Smart/Wi-Fi thermostat","Honeywell","PRO SERIES","Unknown","UNKNOWN","Unknown","Yes","Yes","Central System","Entry/Entryway"
"SITE_922","ROOM_18499","APPL_173170","Programmable thermostat","Honeywell","RTH2300","Unknown","UNKNOWN","Unknown","Yes",NA,"Central System","Garage"
"SITE_923","ROOM_14903","APPL_9199","Smart thermostat","Ecobee","UNKNOWN","Unknown","UNKNOWN","Unknown","Yes","Yes","Central System","Living Room"
"SITE_924","ROOM_25809","APPL_102043","Smart/Wi-Fi thermostat","Bryant","T6-WEM01","Unknown","965523359405","Yes","Yes","Yes","Central System","Dining Room"
"SITE_925","ROOM_2367","APPL_60653","Programmable thermostat","Honeywell","UNKNOWN","Unknown","UNKNOWN","No","Yes",NA,"Central System","Hallway"
"SITE_926","ROOM_19493","APPL_11500","Smart thermostat","Google Nest","NEST 7.6","Unknown","15DA01AC37170XD9","Yes","Yes","Yes","Central System","Family Room"
"SITE_927","ROOM_16522","APPL_83464","Manual thermostat - Digital","Honeywell","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Central System","Hallway"
"SITE_928","ROOM_19388","APPL_144108","Programmable thermostat","Mitsubishi","SG15H","Unknown","1638","No","Yes",NA,"Zonal System","Bedroom"
"SITE_928","ROOM_35699","APPL_64857","Programmable thermostat","Honeywell","UNKNOWN","Unknown","UNKNOWN","No","No",NA,"Unknown","Dining Room"
"SITE_928","ROOM_19138","APPL_90185","Smart/Wi-Fi thermostat","Lennox","ICO, FORT S30","Unknown","ZD18D22580","Unknown","Yes","Yes","Central System","Kitchen"
"SITE_928","ROOM_10308","APPL_130198","Programmable thermostat","Mitsubishi","SG162","Unknown","18C7","No","No",NA,"Zonal System","Bedroom"
"SITE_928","ROOM_34118","APPL_52480","Programmable thermostat","Mitsubishi","SG162","Unknown","18C7","No","No",NA,"Zonal System","Bedroom"
"SITE_929","ROOM_4348","APPL_166302","Wi-Fi enabled thermostat","Vivint","UNKNOWN","Unknown","UNKNOWN","No","No","No","Central System","Hallway"
"SITE_93","ROOM_17356","APPL_115056","Programmable thermostat","Honeywell","UNKNOWN","Unknown","UNKNOWN","No","Yes",NA,"Central System","Living Room"
"SITE_930","ROOM_42220","APPL_55524","Manual thermostat - Analog","Lux","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Hallway"
"SITE_930","ROOM_46170","APPL_4994","Manual thermostat - Analog","Honeywell","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Bedroom"
"SITE_930","ROOM_14780","APPL_2862","Manual thermostat - Analog","Lux","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Office"
"SITE_931","ROOM_46646","APPL_138506","Programmable thermostat","Honeywell","UNKNOWN","Unknown","UNKNOWN","Unknown","No",NA,"Central System","Living Room"
"SITE_932","ROOM_31235","APPL_86102","Programmable thermostat","Honeywell","TH8320R1003","Unknown","UNKNOWN","No","Yes",NA,"Central System","Entry/Entryway"
"SITE_932","ROOM_31235","APPL_75424","Manual thermostat - Analog","InterTherm","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Unknown","Entry/Entryway"
"SITE_934","ROOM_36473","APPL_80960","Manual thermostat - Analog","Honeywell","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Central System","Hallway"
"SITE_935","ROOM_9121","APPL_47524","Programmable thermostat","Honeywell","UNKNOWN","Unknown","UNKNOWN","No","Yes",NA,"Central System","Hallway"
"SITE_937","ROOM_44375","APPL_27113","Manual thermostat - Analog","White Rodgers","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Bedroom"
"SITE_937","ROOM_41739","APPL_122597","Manual thermostat - Analog","White Rodgers","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Bedroom"
"SITE_937","ROOM_42159","APPL_132537","Manual thermostat - Analog","White Rodgers","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Living Room"
"SITE_938","ROOM_18881","APPL_86797","Programmable thermostat","Honeywell","UNKNOWN","Unknown","UNKNOWN","No","Yes",NA,"Central System","Hallway"
"SITE_939","ROOM_15914","APPL_167151","Programmable thermostat","Lennox","UNKNOWN","Unknown","UNKNOWN","Unknown","No",NA,"Central System","Hallway"
"SITE_94","ROOM_19671","APPL_119714","Manual thermostat - Analog","Honeywell","UNKNOWN","Unknown","UNKNOWN","No",NA,NA,"Unknown","Living Room"
"SITE_940","ROOM_46331","APPL_81269","Manual thermostat - Digital","Pro1 IAQ","T701","Unknown","UNKNOWN","No",NA,NA,"Central System","Living Room"
"SITE_941","ROOM_43520","APPL_58904","Programmable thermostat","SunTouch","UNKNOWN","Unknown","UNKNOWN","No","Yes",NA,"Zonal System","Bathroom"
"SITE_941","ROOM_1038","APPL_1823","Wi-Fi enabled thermostat","Honeywell","PROSERIES","Unknown","UNKNOWN","No","Yes","No","Central System","Kitchen"
