"SiteID","RoomID","ApplianceID","Type","Make","Make_Other","Model","Vintage","Serial","Energy_Star","WiFi_Capable","Room_Type","Dishwasher_Missing_Model_Reason","Dishwasher_Missing_Model_Reason_Other"
"SITE_1014","ROOM_21794","APPL_87991","Standard (approx 24in.)","Whirlpool",NA,"WDF750SAYW0","Unknown","F13604615","Yes","No","Kitchen",NA,NA
"SITE_1015","ROOM_41236","APPL_96590","Standard (approx 24in.)","General Electric",NA,"GDT535PSMOSS","2020","FR705934B","No","No","Kitchen",NA,NA
"SITE_1016","ROOM_8156","APPL_79100","Standard (approx 24in.)","General Electric",NA,"GLD4550N10CS","Unknown","TR7096503","No","No","Kitchen",NA,NA
"SITE_1017","ROOM_22219","APPL_3396","Standard (approx 24in.)","Whirlpool",NA,"WDF420PADM 9","2021","FA2940474","No","No","Kitchen",NA,NA
"SITE_1018","ROOM_10704","APPL_130942","Standard (approx 24in.)","Bosch",NA,"Unknown","Unknown","Unknown","No","No","Kitchen","Unknown","NAMEPLATE IS PARTIALLY MISSING"
"SITE_1019","ROOM_34863","APPL_138903","Standard (approx 24in.)","Bosch",NA,"SHPM65255N/20","Unknown","FD011010968","No","No","Kitchen",NA,NA
"SITE_102","ROOM_31576","APPL_143012","Standard (approx 24in.)","Kenmore",NA,"66513092N411","Unknown","F51916414","No","No","Kitchen",NA,NA
"SITE_1020","ROOM_21532","APPL_85656","Standard (approx 24in.)","Bosch",NA,"SHE3AR56UC/07","Unknown","FD911102306","No","No","Kitchen",NA,NA
"SITE_1021","ROOM_41289","APPL_3589","Standard (approx 24in.)","Whirlpool",NA,"DU1055XTVQ2","Unknown","F03021419","Yes","No","Kitchen",NA,NA
"SITE_1022","ROOM_45248","APPL_119550","Standard (approx 24in.)","Whirlpool",NA,"WDT920SADM2","Unknown","F64050514","Yes","No","Kitchen",NA,NA
"SITE_1023","ROOM_23428","APPL_115808","Compact (< 18in.)","Bosch",NA,"SHEM63W56N/10","2019","FD980800279","No","No","Kitchen",NA,NA
"SITE_1025","ROOM_23312","APPL_33580","Standard (approx 24in.)","Miele",NA,"G 4977 SCVI SF","Unknown","64/105440134","No","No","Living Room",NA,NA
"SITE_1026","ROOM_18850","APPL_87126","Standard (approx 24in.)","Kenmore",NA,"66513213K901","Unknown","F11246772","Yes","No","Kitchen",NA,NA
"SITE_1027","ROOM_30027","APPL_58806","Standard (approx 24in.)","Kenmore",NA,"#66517363301","Unknown","FR2903254","No","No","Kitchen",NA,NA
"SITE_1028","ROOM_38264","APPL_105657","Standard (approx 24in.)","Whirlpool",NA,"Unknown","Unknown","Unknown","No","No","Kitchen","Unknown",NA
"SITE_103","ROOM_10789","APPL_23791","Standard (approx 24in.)","KitchenAid",NA,"KUDE20IXWH8","Unknown","F23101751","Yes","No","Kitchen",NA,NA
"SITE_1030","ROOM_32047","APPL_120364","Standard (approx 24in.)","Whirlpool",NA,"WDTA5OSAKZO","Unknown","FA5202487","No","No","Kitchen",NA,NA
"SITE_1031","ROOM_653","APPL_28470","Standard (approx 24in.)","Whirlpool",NA,"WDF540 PADM3","2020","F94966114","No","No","Kitchen",NA,NA
"SITE_1032","ROOM_1889","APPL_98946","Standard (approx 24in.)","Hotpoint",NA,"HDA3400G02WW","Unknown","ZG778559Y","No","No","Kitchen",NA,NA
"SITE_1033","ROOM_30980","APPL_102343","Standard (approx 24in.)","Bosch",NA,"SHXM78W55N/10","Unknown","FD980201731","No","No","Kitchen",NA,NA
"SITE_1034","ROOM_37510","APPL_33565","Standard (approx 24in.)","Whirlpool",NA,"WDT730PAHZ O","Unknown","FA3682271","No","No","Kitchen",NA,NA
"SITE_1035","ROOM_29893","APPL_53590","Standard (approx 24in.)","Admiral",NA,"DWB1000AWX","Unknown","29464241EE","No","No","Kitchen",NA,NA
"SITE_1036","ROOM_11885","APPL_121155","Standard (approx 24in.)","General Electric",NA,"GDT545PSJ0SS","Unknown","SF766045B","No","No","Kitchen",NA,NA
"SITE_1038","ROOM_33895","APPL_52902","Standard (approx 24in.)","Samsung",NA,"DW80J3020UW","2017","B022G8DJ500007F","Yes","No","Kitchen",NA,NA
"SITE_1039","ROOM_17569","APPL_164603","Standard (approx 24in.)","General Electric",NA,"GDT655SSJ4SS","Unknown","RL788744B","No","Unknown","Kitchen",NA,NA
"SITE_104","ROOM_42246","APPL_155578","Standard (approx 24in.)","LG",NA,"LDF7774ST","Unknown","605KWEL5A212","Yes","Unknown","Kitchen",NA,NA
"SITE_1040","ROOM_37555","APPL_114498","Standard (approx 24in.)","Kenmore",NA,"66513579K700","Unknown","FU4706900","Yes","No","Kitchen",NA,NA
"SITE_1041","ROOM_24279","APPL_16983","Standard (approx 24in.)","Bosch",NA,"SHP64T55UC/07","Unknown","FD960800945","No","No","Kitchen",NA,NA
"SITE_1042","ROOM_46211","APPL_115424","Standard (approx 24in.)","General Electric",NA,"GDF550PGR0BB","Unknown","MS834281B","No","No","Kitchen",NA,NA
"SITE_1043","ROOM_36997","APPL_45375","Standard (approx 24in.)","General Electric",NA,"PDF715SFN3DS","Unknown","FS858420B","No","No","Kitchen",NA,NA
"SITE_1044","ROOM_31724","APPL_13089","Standard (approx 24in.)","Jenn Air",NA,"JDB1090AWS","Unknown","32642996JE","No","No","Kitchen",NA,NA
"SITE_1046","ROOM_2757","APPL_150654","Standard (approx 24in.)","Whirlpool",NA,"WDF330PAHW 4","Unknown","FA3712996","Yes","Unknown","Living Room",NA,NA
"SITE_1047","ROOM_10514","APPL_79407","Standard (approx 24in.)","Amana",NA,"ADB1600AWB0","Unknown","FY4303906","Yes","No","Kitchen",NA,NA
"SITE_1049","ROOM_41375","APPL_145556","Standard (approx 24in.)","Bosch",NA,"SHE3ARL6UC/08","Unknown","FD920600013","No","No","Kitchen",NA,NA
"SITE_105","ROOM_32128","APPL_9152","Standard (approx 24in.)","Bosch",NA,"SHX57C05UC/47","Unknown","Unknown","No","No","Kitchen",NA,NA
"SITE_1050","ROOM_8785","APPL_155134","Standard (approx 24in.)","Maytag",NA,"MDB8959AWS2","Unknown","F00603817","Yes","No","Kitchen",NA,NA
"SITE_1051","ROOM_7879","APPL_132942","Compact (< 18in.)","Fisher & Paykel",NA,"DS602","Unknown","88281 DUD637705","No","No","Kitchen",NA,NA
"SITE_1052","ROOM_16484","APPL_59870","Standard (approx 24in.)","Bosch",NA,"SHX3AR75UC","Unknown","FD970900453","No","No","Kitchen",NA,NA
"SITE_1053","ROOM_17177","APPL_100045","Standard (approx 24in.)","Frigidaire",NA,"FFCD2413US2A","Unknown","TH94392068","Yes","No","Kitchen",NA,NA
"SITE_1054","ROOM_29393","APPL_120175","Standard (approx 24in.)","Frigidaire",NA,"FFCD2413UB2A","Unknown","TH94421771","Yes","No","Kitchen",NA,NA
"SITE_1055","ROOM_6243","APPL_139699","Standard (approx 24in.)","Maytag",NA,"MDB8959SKZ0","Unknown","FX3601033","No","No","Kitchen",NA,NA
"SITE_1056","ROOM_17196","APPL_126465","Standard (approx 24in.)","Bosch",NA,"SHE44C06UC/38","Unknown","FD860800810","No","No","Kitchen",NA,NA
"SITE_1057","ROOM_22439","APPL_76445","Standard (approx 24in.)","KitchenAid",NA,"KDFE104HBLO","Unknown","F81103217","No","No","Kitchen",NA,NA
"SITE_1058","ROOM_5584","APPL_115364","Standard (approx 24in.)","Maytag",NA,"ZZIS6L688GW","Unknown","F82024249","No","No","Kitchen",NA,NA
"SITE_1059","ROOM_32373","APPL_3206","Standard (approx 24in.)","Maytag",NA,"MDB4949SHZ1","Unknown","FX2534684","No","No","Kitchen",NA,NA
"SITE_106","ROOM_4848","APPL_101756","Standard (approx 24in.)","Bosch",NA,"SHXM63W55N/20","Unknown","FD11001230KEN","No","No","Kitchen",NA,NA
"SITE_1060","ROOM_28951","APPL_117010","Standard (approx 24in.)","Thermador",NA,"DWHD440MFP/02","Unknown","Unknown","No","No","Kitchen",NA,NA
"SITE_1061","ROOM_15032","APPL_112765","Standard (approx 24in.)","Kenmore",NA,"66513712K600","Unknown","FT4605116","Yes","No","Kitchen",NA,NA
"SITE_1062","ROOM_17880","APPL_156485","Standard (approx 24in.)","Bosch",NA,"SHEM63W56N","Unknown","FD990301238","No","No","Kitchen",NA,NA
"SITE_1063","ROOM_15509","APPL_140685","Standard (approx 24in.)","KitchenAid",NA,"KDTM404ESS2","Unknown","F64005988","Yes","No","Kitchen",NA,NA
"SITE_1064","ROOM_35912","APPL_124097","Standard (approx 24in.)","General Electric",NA,"CDW 9380 N20SS","Unknown","AR A 86446B","No","No","Kitchen",NA,NA
"SITE_1064","ROOM_35912","APPL_120987","Standard (approx 24in.)","General Electric",NA,"CDW 9380N20SS","Unknown","AR886392B","No","No","Kitchen",NA,NA
"SITE_1065","ROOM_42983","APPL_64583","Standard (approx 24in.)","Whirlpool",NA,"GU1500XTLB3","Unknown","FR2112811","No","No","Kitchen",NA,NA
"SITE_1066","ROOM_35258","APPL_150002","Standard (approx 24in.)","Bosch",NA,"SHE33M06UC/48","Unknown","#870700433","No","No","Kitchen",NA,NA
"SITE_1067","ROOM_15447","APPL_158624","Standard (approx 24in.)","Bosch",NA,"SHE65T556UC/07","Unknown","FD950700350","No","No","Kitchen",NA,NA
"SITE_1068","ROOM_28860","APPL_39672","Standard (approx 24in.)","Whirlpool",NA,"WDF520PADM3","Unknown","F52210021","Yes","No","Kitchen",NA,NA
"SITE_1069","ROOM_13605","APPL_16925","Standard (approx 24in.)","Whirlpool",NA,"WDT790SLYM2","Unknown","F33107297","Yes","No","Kitchen",NA,NA
"SITE_107","ROOM_24984","APPL_103509","Standard (approx 24in.)","Bosch",NA,"SHXM4AY56N/25","Unknown","FD990900530","No","No","Kitchen",NA,NA
"SITE_1070","ROOM_4002","APPL_53042","Standard (approx 24in.)","Kenmore",NA,"66513473N412","Unknown","F53902409","No","No","Kitchen",NA,NA
"SITE_1071","ROOM_41638","APPL_90281","Standard (approx 24in.)","Whirlpool",NA,"DU810SWPU2","Unknown","FT2652117","No","No","Kitchen",NA,NA
"SITE_1072","ROOM_42765","APPL_49404","Standard (approx 24in.)","Samsung",NA,"DW80K7050US","Unknown","B03RG8DK101772Z","Yes","No","Kitchen",NA,NA
"SITE_1074","ROOM_45325","APPL_67394","Standard (approx 24in.)","Bosch",NA,"Unknown","Unknown","Unknown","No","No","Kitchen","Unknown",NA
"SITE_1075","ROOM_31353","APPL_129533","Standard (approx 24in.)","Maytag",NA,"MDB4630AWW5","Unknown","F14507358","Yes","No","Kitchen",NA,NA
"SITE_1076","ROOM_27432","APPL_154315","Standard (approx 24in.)","Whirlpool",NA,"DP840SWPX2","Unknown","FT1806261","No","No","Kitchen",NA,NA
"SITE_1077","ROOM_11598","APPL_33251","Standard (approx 24in.)","Whirlpool",NA,"WDP350PAAW6","Unknown","F54903366","No","No","Kitchen",NA,NA
"SITE_1078","ROOM_8477","APPL_170163","Standard (approx 24in.)","Hotpoint",NA,"HDA1200G00WW","Unknown","MD740801Y","No","No","Kitchen",NA,NA
"SITE_1078","ROOM_22021","APPL_167784","Standard (approx 24in.)","Bosch",NA,"SHP865WF5N/11","Unknown","FD990302794","No","No","Kitchen",NA,NA
"SITE_108","ROOM_7714","APPL_168671","Standard (approx 24in.)","Miele",NA,"G2183SCVISF","Unknown","Unknown","No","No","Kitchen",NA,NA
"SITE_1082","ROOM_7660","APPL_169904","Standard (approx 24in.)","Whirlpool",NA,"WDTA50SAHZ0","Unknown","F82764074","No","No","Kitchen",NA,NA
"SITE_1083","ROOM_20938","APPL_82087","Standard (approx 24in.)","Whirlpool",NA,"DU1055XTVQ0","Unknown","FY2640697","Yes","No","Kitchen",NA,NA
"SITE_1084","ROOM_37243","APPL_140237","Standard (approx 24in.)","Bosch",NA,"SHU43C06UC/17","Unknown","FD8406 01125","No","No","Kitchen",NA,NA
"SITE_1085","ROOM_16517","APPL_56819","Standard (approx 24in.)","LG",NA,"LDS5540ST","Unknown","409KWGG3D927","Yes","No","Kitchen",NA,NA
"SITE_1087","ROOM_27111","APPL_109755","Standard (approx 24in.)","Bosch",NA,"Unknown","Unknown","Unknown","Unknown","No","Kitchen","Unknown",NA
"SITE_1088","ROOM_24286","APPL_139189","Standard (approx 24in.)","Whirlpool",NA,"WDTA50SAHZ0","Unknown","F92511090","No","No","Kitchen",NA,NA
"SITE_1089","ROOM_11794","APPL_142637","Standard (approx 24in.)","Frigidaire",NA,"Unknown","Unknown","Unknown","No","No","Kitchen","Unknown",NA
"SITE_109","ROOM_43985","APPL_63017","Standard (approx 24in.)","Bosch",NA,"SHEM63W55N/13FD000502581","Unknown","Unknown","No","No","Kitchen",NA,NA
"SITE_1090","ROOM_23664","APPL_137675","Standard (approx 24in.)","Frigidaire",NA,"FGHD2465NFIA","Unknown","TH24425076","Yes","No","Kitchen",NA,NA
"SITE_1091","ROOM_29083","APPL_89473","Standard (approx 24in.)","Jenn Air",NA,"JDB9910AWB","Unknown","13265369YD","No","No","Kitchen",NA,NA
"SITE_1092","ROOM_22918","APPL_1749","Standard (approx 24in.)","Frigidaire",NA,"FGID2474QF6B","Unknown","KH61221001","Yes","No","Kitchen",NA,NA
"SITE_1093","ROOM_16401","APPL_136390","Standard (approx 24in.)","Whirlpool",NA,"DU1345XTVB2","Unknown","F03007587","No","No","Kitchen",NA,NA
"SITE_1094","ROOM_5356","APPL_19199","Standard (approx 24in.)","Bosch",NA,"SHV7PT53UC/07","Unknown","FD951100181","No","No","Kitchen",NA,NA
"SITE_1095","ROOM_23650","APPL_141052","Standard (approx 24in.)","Bosch",NA,"SHX68TL5UC/02FD9311 00440","Unknown","Unknown","No","No","Kitchen",NA,NA
"SITE_1096","ROOM_20429","APPL_27104","Compact (< 18in.)","Whirlpool",NA,"WDF518SAAM","Unknown","Unknown","No","No","Kitchen",NA,NA
"SITE_1097","ROOM_26404","APPL_167895","Standard (approx 24in.)","Amana",NA,"ADB1500AWB2","Unknown","Unknown","No","No","Kitchen",NA,NA
"SITE_1098","ROOM_9261","APPL_149621","Standard (approx 24in.)","Whirlpool",NA,"DUBOOCWDQ4","Unknown","FF3507764","No","No","Kitchen",NA,NA
"SITE_1099","ROOM_34801","APPL_138497","Standard (approx 24in.)","Bosch",NA,"SHXM63W55N/20","Unknown","FD011200070","No","No","Kitchen",NA,NA
"SITE_11","ROOM_45221","APPL_79816","Standard (approx 24in.)","Maytag",NA,"MDB4949SHBO","Unknown","F91514048","No","No","Kitchen",NA,NA
"SITE_110","ROOM_8525","APPL_71554","Standard (approx 24in.)","Frigidaire",NA,"FGID246SQF6A","Unknown","TH80854566","Yes","No","Kitchen",NA,NA
"SITE_1100","ROOM_6696","APPL_72753","Standard (approx 24in.)","General Electric",NA,"GSM330N01","Unknown","S11310440B","No","No","Kitchen",NA,NA
"SITE_1101","ROOM_13463","APPL_62097","Standard (approx 24in.)","Kelvinator",NA,"MDB202RBWO","Unknown","TH52632837","No","No","Kitchen",NA,NA
"SITE_1103","ROOM_16295","APPL_148669","Standard (approx 24in.)","Frigidaire",NA,"FDB1050REB4","Unknown","TH83631135","No","No","Kitchen",NA,NA
"SITE_1104","ROOM_40921","APPL_139037","Standard (approx 24in.)","KitchenAid",NA,"KDTEW04KPS0","Unknown","FA0601512","No","No","Kitchen",NA,NA
"SITE_1105","ROOM_34173","APPL_163283","Standard (approx 24in.)","Bosch",NA,"SHO865WD2N/01","Unknown","FD970900082","No","No","Kitchen",NA,NA
"SITE_1106","ROOM_17321","APPL_92779","Standard (approx 24in.)","Other","Monogram","ZDT915S|J211","Unknown","TL751125B","No","Yes","Kitchen",NA,NA
"SITE_1107","ROOM_33514","APPL_64283","Standard (approx 24in.)","Whirlpool",NA,"DU1301XTV02","Unknown","F04114057","Yes","No","Kitchen",NA,NA
"SITE_1109","ROOM_22276","APPL_40989","Standard (approx 24in.)","General Electric",NA,"PDWT380R10SS","Unknown","ZT745937B","No","No","Kitchen",NA,NA
"SITE_111","ROOM_26336","APPL_66799","Standard (approx 24in.)","Whirlpool",NA,"WDT720PADM1","Unknown","F53468104","No","No","Kitchen",NA,NA
"SITE_1110","ROOM_3278","APPL_167154","Standard (approx 24in.)","KitchenAid",NA,"KDFE304DBLO","Unknown","F40503513","Yes","No","Kitchen",NA,NA
"SITE_1111","ROOM_32450","APPL_83294","Standard (approx 24in.)","Bosch",NA,"SHX45P05UC/60","Unknown","FD900500023","No","No","Kitchen",NA,NA
"SITE_1112","ROOM_1071","APPL_24214","Standard (approx 24in.)","Kenmore",NA,"66513549N414","Unknown","F74502104","No","No","Kitchen",NA,NA
"SITE_1113","ROOM_24052","APPL_157455","Standard (approx 24in.)","Maytag",NA,"MDB9959SKZ0","Unknown","FA2901464","No","No","Kitchen",NA,NA
"SITE_1114","ROOM_15418","APPL_19449","Standard (approx 24in.)","General Electric",NA,"GSD3435F00WW","Unknown","MZ748809B","No","No","Kitchen",NA,NA
"SITE_1115","ROOM_44068","APPL_64029","Standard (approx 24in.)","Bosch",NA,"SHV68M03UC/50","Unknown","10810008487700200 0","No","No","Kitchen",NA,NA
"SITE_1116","ROOM_32331","APPL_60518","Standard (approx 24in.)","Whirlpool",NA,"DU8000XX-6","Unknown","FC 40 64207","No","No","Kitchen",NA,NA
"SITE_1117","ROOM_25181","APPL_116308","Standard (approx 24in.)","Frigidaire",NA,"FFCD2413US2A","Unknown","TH93998590","Yes","No","Kitchen",NA,NA
"SITE_1118","ROOM_17669","APPL_18307","Standard (approx 24in.)","Estate",NA,"TUD6700KT0","Unknown","FR2008045","Yes","No","Kitchen",NA,NA
"SITE_1118","ROOM_46806","APPL_167524","Standard (approx 24in.)","Frigidaire",NA,"FDP750RCS1","Unknown","TH63376338","Yes","No","Kitchen",NA,NA
"SITE_112","ROOM_35750","APPL_121890","Standard (approx 24in.)","Electrolux",NA,"FBD2400KW12B","Unknown","TH02989759","Yes","No","Kitchen",NA,NA
"SITE_1120","ROOM_4947","APPL_148597","Standard (approx 24in.)","General Electric",NA,"GLD5708V00WW","Unknown","HZ766657B","Yes","No","Kitchen",NA,NA
"SITE_1121","ROOM_8478","APPL_169953","Standard (approx 24in.)","Whirlpool",NA,"WDT710PAYM3","Unknown","F23736158","Yes","No","Kitchen",NA,NA
"SITE_1123","ROOM_33883","APPL_115579","Standard (approx 24in.)","Kenmore",NA,"66513722K601","Unknown","FU1303676","Yes","No","Kitchen",NA,NA
"SITE_1124","ROOM_18066","APPL_26248","Standard (approx 24in.)","Kenmore",NA,"66513722K601","Unknown","FU3708921","Yes","No","Kitchen",NA,NA
"SITE_1125","ROOM_2463","APPL_10716","Standard (approx 24in.)","Kenmore",NA,"#58714132102","Unknown","TH41441602","No","No","Kitchen",NA,NA
"SITE_1126","ROOM_40664","APPL_11422","Standard (approx 24in.)","Bosch",NA,"SHSM63W55N/13","Unknown","FD010800964","No","No","Kitchen",NA,NA
"SITE_1127","ROOM_39196","APPL_35266","Standard (approx 24in.)","General Electric",NA,"GSD6260J03SS","Unknown","TG733330B","No","No","Kitchen",NA,NA
"SITE_1128","ROOM_43803","APPL_162303","Standard (approx 24in.)","KitchenAid",NA,"KUD101TJBL0","Unknown","FL4131859","Yes","No","Kitchen",NA,NA
"SITE_1128","ROOM_5198","APPL_38348","Standard (approx 24in.)","Frigidaire",NA,"FFCD2413UB4A","Unknown","TH12601401","Yes","No","Kitchen",NA,NA
"SITE_1129","ROOM_43399","APPL_124340","Standard (approx 24in.)","Bosch",NA,"SHP65TL5UC/09","Unknown","FD960900633","No","No","Kitchen",NA,NA
"SITE_113","ROOM_12769","APPL_51531","Standard (approx 24in.)","Bosch",NA,"Unknown","Unknown","Unknown","Unknown","No","Kitchen","Unknown","DISHWASHER IS RUNNING AT TIME OF VISIT"
"SITE_1130","ROOM_41757","APPL_103340","Standard (approx 24in.)","Kenmore",NA,"66513262K113","Unknown","F33150445","Yes","No","Kitchen",NA,NA
"SITE_1131","ROOM_40692","APPL_17956","Standard (approx 24in.)","ASKO",NA,"DW 202","Unknown","#043301103055","No","No","Kitchen",NA,NA
"SITE_1132","ROOM_10935","APPL_5892","Standard (approx 24in.)","KitchenAid",NA,"KDTM404KPS0","Unknown","FA1903184","No","No","Kitchen",NA,NA
"SITE_1133","ROOM_37415","APPL_154466","Standard (approx 24in.)","Samsung",NA,"DW80J3020UB/AA","Unknown","B01Y58DGA01224Z","Yes","No","Kitchen",NA,NA
"SITE_1134","ROOM_8352","APPL_173623","Standard (approx 24in.)","KitchenAid",NA,"KUDP01ILBL3","Unknown","FR1908471","Yes","No","Kitchen",NA,NA
"SITE_1135","ROOM_2157","APPL_99835","Standard (approx 24in.)","Maytag",NA,"MDB4949SDZ0","Unknown","F74961825","Yes","No","Kitchen",NA,NA
"SITE_1137","ROOM_45963","APPL_35109","Standard (approx 24in.)","General Electric",NA,"GDF530PSM2SS","Unknown","VM860585B","No","No","Kitchen",NA,NA
"SITE_1138","ROOM_2630","APPL_28125","Standard (approx 24in.)","Maytag",NA,"MDB8959SBS2","Unknown","F33208281","Yes","No","Kitchen",NA,NA
"SITE_1139","ROOM_37086","APPL_101206","Standard (approx 24in.)","Whirlpool",NA,"WDF330PAHB2","Unknown","F84546769","No","No","Kitchen",NA,NA
"SITE_114","ROOM_35651","APPL_22768","Standard (approx 24in.)","Hotpoint",NA,"HDA467N-01WH","Unknown","SD606101X","No","No","Kitchen",NA,NA
"SITE_1140","ROOM_14086","APPL_112207","Standard (approx 24in.)","Whirlpool",NA,"WDTA50SAHV0","Unknown","F84319289","No","No","Kitchen",NA,NA
"SITE_1141","ROOM_9869","APPL_174703","Standard (approx 24in.)","Maytag",NA,"MDB4100AWW","Unknown","10320886WQ","No","No","Kitchen",NA,NA
"SITE_1142","ROOM_38341","APPL_42801","Standard (approx 24in.)","Bosch",NA,"SHPM65W55N/01","Unknown","FD970100542","No","No","Kitchen",NA,NA
"SITE_1143","ROOM_9444","APPL_29101","Standard (approx 24in.)","Frigidaire",NA,"FDB1050REM4","Unknown","TH834565726","No","No","Kitchen",NA,NA
"SITE_1144","ROOM_34170","APPL_53139","Standard (approx 24in.)","Kenmore",NA,"66513923K010","Unknown","F03402317","Yes","No","Kitchen",NA,NA
"SITE_1146","ROOM_26716","APPL_145139","Standard (approx 24in.)","Maytag",NA,"MDB8989SHW0","Unknown","F94309757","No","No","Kitchen",NA,NA
"SITE_1147","ROOM_19995","APPL_11452","Standard (approx 24in.)","Whirlpool",NA,"DU945PWST0","Unknown","FY4422188","No","No","Kitchen",NA,NA
"SITE_1148","ROOM_22946","APPL_29325","Standard (approx 24in.)","Samsung",NA,"DW80M9960US","2018","0EKKGDAK700590P","Yes","Unknown","Kitchen",NA,NA
"SITE_1149","ROOM_24600","APPL_2533","Standard (approx 24in.)","Maytag",NA,"Unknown","Unknown","Unknown","No","No","Kitchen","Unknown",NA
"SITE_1150","ROOM_37168","APPL_163382","Standard (approx 24in.)","Samsung",NA,"DW80R5060UG","Unknown","B08ZG8DNB03219P","Yes","No","Kitchen",NA,NA
"SITE_1151","ROOM_600","APPL_58245","Standard (approx 24in.)","Whirlpool",NA,"WDF540PADW3","Unknown","FX3302197","No","No","Kitchen",NA,NA
"SITE_1152","ROOM_4728","APPL_155821","Standard (approx 24in.)","Bosch",NA,"SHE65T52UC","Unknown","Unknown","No","No","Kitchen",NA,NA
"SITE_1153","ROOM_29666","APPL_101856","Standard (approx 24in.)","Bosch",NA,"SHU9955UC/UCIZ","Unknown","FD8203200347","No","No","Kitchen",NA,NA
"SITE_1154","ROOM_6290","APPL_12123","Standard (approx 24in.)","Whirlpool",NA,"GU2275XTVB1","Unknown","F01007592","Yes","No","Kitchen",NA,NA
"SITE_1155","ROOM_33266","APPL_81117","Standard (approx 24in.)","KitchenAid",NA,"KUCS230Y1","Unknown","FC2312490","No","No","Kitchen",NA,NA
"SITE_1156","ROOM_3620","APPL_125394","Standard (approx 24in.)","Samsung",NA,"DW80F600UTS","Unknown","Unknown","Yes","No","Kitchen",NA,NA
"SITE_1157","ROOM_4606","APPL_155213","Standard (approx 24in.)","Hotpoint",NA,"HDF330PGR3WW","Unknown","DT852073B","No","No","Kitchen",NA,NA
"SITE_1158","ROOM_37214","APPL_17052","Standard (approx 24in.)","Bosch",NA,"SHP53TL5UC-02","Unknown","FD950300160","No","No","Living Room",NA,NA
"SITE_1159","ROOM_26364","APPL_15095","Standard (approx 24in.)","Maytag",NA,"MDB7759AWB1","Unknown","F05102973","Yes","No","Kitchen",NA,NA
"SITE_116","ROOM_22915","APPL_79649","Standard (approx 24in.)","Estate",NA,"TUD","Unknown","Y4703070","No","No","Kitchen",NA,NA
"SITE_1160","ROOM_11981","APPL_108468","Standard (approx 24in.)","Whirlpool",NA,"WDF330PAHB1","Unknown","F90468509","No","No","Kitchen",NA,NA
"SITE_1161","ROOM_45529","APPL_143320","Standard (approx 24in.)","Bosch",NA,"SHEM63W55N/13","Unknown","FD991100418","No","No","Kitchen",NA,NA
"SITE_1161","ROOM_5931","APPL_95060","Standard (approx 24in.)","Bosch",NA,"SHEM63W55N/13","Unknown","FD000705365","No","No","Kitchen",NA,NA
"SITE_1162","ROOM_20016","APPL_67184","Standard (approx 24in.)","Whirlpool",NA,"GU2500XTPS6","Unknown","FS2906253","Yes","No","Kitchen",NA,NA
