"SiteID","RoomID","ApplianceID","Type","Make","Make_Other","Model","Refrigerator_Freezer_Missing_Model_Reason","Vintage","Serial","Energy_Star","Wifi_Enabled","Primary","Size_Cubic_Feet","Size_Is_Estimated","Percent_of_Year_Used","Door_in_Door","Integrated_Screen","Icemaker_Present","Icemaker_type","Icemaker_Working","Room_Type"
"SITE_1482","ROOM_34381","APPL_17578","R/F Top Freezer","Haier",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","20","Measured or Known","100","No","No","No",NA,NA,"Bedroom"
"SITE_1482","ROOM_31954","APPL_84450","Chest Freezer","General Electric",NA,"Unknown","Unknown","Unknown","Unknown","Unknown","No","No","4.4","Measured or Known","Unknown",NA,"No","No",NA,NA,"Bedroom"
"SITE_1483","ROOM_18604","APPL_28824","R/F Top Freezer","Kenmore",NA,"#10653264202",NA,"2002","SM5139695","No","No","No","Unknown",NA,"100","No","No","Yes","Through door","Unknown","Outbuilding / Addition"
"SITE_1483","ROOM_10767","APPL_99967","Side by Side w/ Bottom Freezer","LG",NA,"LMXS286265/06",NA,"2021","105KRHX04889","No","No","Yes","Unknown",NA,"100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1483","ROOM_33224","APPL_90350","Chest Freezer","Kenmore",NA,"Unknown","Unknown","Unknown","Unknown","No","No","No","41","Estimated","100",NA,"No","No",NA,NA,"Family Room"
"SITE_1484","ROOM_45841","APPL_102705","R/F Top Freezer","Frigidaire",NA,"FRT18B5AQ2",NA,"2002","BA23914868","No","No","Yes","24","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_1485","ROOM_11515","APPL_129975","R/F Top Freezer","Frigidaire",NA,"FRT18IL6DWM",NA,"2006","BA63342108","No","No","Yes","23","Estimated","100","No","No","Yes","In freezer","No","Kitchen"
"SITE_1486","ROOM_28166","APPL_122677","R/F Top Freezer","Crosley",NA,"CRT181QW4A",NA,"2016","BA63700342","No","No","No","Unknown",NA,"100","No","No","No",NA,NA,"Laundry"
"SITE_1486","ROOM_41937","APPL_24509","Side by Side w/ Bottom Freezer","Liebherr",NA,"Unknown","Unknown","Unknown","Unknown","No","No","Yes","Unknown",NA,"100","No","No","No",NA,NA,"Kitchen"
"SITE_1486","ROOM_29790","APPL_87858","Upright Full Size Single Freezer Only","Crosley",NA,"Unknown",NA,"Unknown","Unknown","Yes","No","No","Unknown",NA,"100",NA,"No","No",NA,NA,"Outside"
"SITE_1486","ROOM_39915","APPL_29508","Upright Full Size Single Freezer Only","Crosley",NA,"Unknown","Unknown","Unknown","Unknown","No","No","No","Unknown",NA,"100",NA,"No","No",NA,NA,"Outbuilding / Addition"
"SITE_1486","ROOM_39915","APPL_159137","R/F Top Freezer","Sears",NA,"Unknown",NA,"Unknown","Unknown","No","No","No","Unknown",NA,"100","No","No","No",NA,NA,"Outbuilding / Addition"
"SITE_1486","ROOM_39915","APPL_13230","Mini-Fridge","Danby",NA,"Unknown","Unknown","Unknown","Unknown","No","No","No","Unknown",NA,"100",NA,"No","No",NA,NA,"Outbuilding / Addition"
"SITE_1487","ROOM_24380","APPL_173131","Side by Side w/ Bottom Freezer","Whirlpool",NA,"WRF736SDAM14",NA,"Unknown","K71800253","No","No","Yes","25","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1488","ROOM_16888","APPL_157268","R/F Top Freezer","General Electric",NA,"GTS18FBSARWW",NA,"Unknown","DL843851","No","No","Yes","24","Estimated","100","No","No","No",NA,NA,"Kitchen"
"SITE_1489","ROOM_34304","APPL_110227","Side by Side w/ Bottom Freezer","Whirlpool",NA,"WRF535SWHZ04",NA,"Unknown","KX2408766","Unknown","No","Yes","25","Measured or Known","100","No","No","Yes","In freezer","Yes","Kitchen"
"SITE_149","ROOM_40230","APPL_108539","Side by Side w/ Bottom Freezer","Samsung",NA,"RF28T5001SR",NA,"Unknown","0B5X4BBR306322Y","No","No","Yes","20","Estimated","100","No","No","No",NA,NA,"Kitchen"
"SITE_1490","ROOM_5143","APPL_164729","R/F Top Freezer","Frigidaire",NA,"FFTR1835VS0",NA,"2020","BA03203563","No","No","Yes","22","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_1491","ROOM_20674","APPL_7710","R/F Top Freezer","Amana",NA,"TC18G-L",NA,"Unknown","CK33982905-8","No","No","No","22.9","Measured or Known","100","No","No","Yes","In freezer","Unknown","Laundry"
"SITE_1491","ROOM_45204","APPL_20928","Side by Side w/ Bottom Freezer","Maytag",NA,"MFF2558VEM10",NA,"Unknown","K40816481","No","No","Yes","29.5","Measured or Known","100","No","No","Yes","In freezer","Yes","Kitchen"
"SITE_1491","ROOM_20674","APPL_91078","Upright Full Size Single Freezer Only","Whirlpool",NA,"EEV-124F",NA,"Unknown","Unknown","No","No","No","12","Measured or Known","100",NA,"No","No",NA,NA,"Laundry"
"SITE_1492","ROOM_44567","APPL_141953","R/F Top Freezer","Frigidaire",NA,"FRT15B3AW5",NA,"2004","BA42330398","No","No","Yes","17.7","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_1493","ROOM_42136","APPL_63193","Side by Side Refrigerator/Freezer","Frigidaire",NA,"FRS6LI9FSSO",NA,"2006","4A61011802","Yes","No","Yes","Unknown",NA,"100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1493","ROOM_37019","APPL_97896","Chest Freezer","Frigidaire",NA,"Unknown",NA,"Unknown","Unknown","Unknown","No","No","Unknown",NA,"100",NA,"No","No",NA,NA,"Garage"
"SITE_1494","ROOM_28391","APPL_67546","R/F Top Freezer","Kenmore",NA,"#10655242400",NA,"Unknown","SR4832964","No","No","Yes","27.4","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1495","ROOM_27057","APPL_141997","R/F Top Freezer","Kenmore",NA,"2536080740A",NA,"2006","BA61003081","No","No","Yes","21.3","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_1496","ROOM_23469","APPL_121820","Chest Freezer","Frigidaire",NA,"FCC0522FW0",NA,"2006","WB63721900","No","No","No","Unknown",NA,"100",NA,"No","No",NA,NA,"Basement"
"SITE_1496","ROOM_42740","APPL_35883","Side by Side w/ Bottom Freezer","Whirlpool",NA,"WRX735SDHZ03",NA,"Unknown","KX3921211","Unknown","No","Yes","Unknown",NA,"100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1496","ROOM_23469","APPL_144101","Upright Full Size Single Freezer Only","Hotpoint",NA,"FV20C",NA,"Unknown","Unknown","No","No","No","Unknown",NA,"100",NA,"No","No",NA,NA,"Basement"
"SITE_1496","ROOM_8489","APPL_134416","R/F Top Freezer","Magic Chef",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","Unknown",NA,"100","No","No","No",NA,NA,"Garage"
"SITE_1496","ROOM_1904","APPL_162976","Mini-Fridge","Sanyo",NA,"Unknown",NA,"Unknown","Unknown","Unknown","No","No","Unknown",NA,"Unknown",NA,"No","No",NA,NA,"Outbuilding / Addition"
"SITE_1497","ROOM_7192","APPL_135186","R/F Top Freezer","Whirlpool",NA,"ET8FTEXR001",NA,"2006","ET0210564","No","No","Yes","22","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_1498","ROOM_18734","APPL_168712","Side by Side Refrigerator/Freezer","Frigidaire",NA,"FFHS2622MBQA",NA,"2016","FA638116283","No","No","Yes","26","Unknown","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1499","ROOM_36558","APPL_99784","Side by Side w/ Bottom Freezer","Samsung",NA,"RF260BEAESR",NA,"2018","JKKM4BAK400012Z","No","No","Yes","26","Estimated","100","No","No","Yes","In freezer","Yes","Kitchen"
"SITE_1499","ROOM_35469","APPL_31174","Full Size Single Refrigerator Only","Unknown",NA,"Unknown","Unknown","Unknown","Unknown","Unknown","No","Yes","24","Estimated","100","No","Yes","No",NA,NA,"Laundry"
"SITE_15","ROOM_17080","APPL_142259","R/F Top Freezer","Kenmore",NA,"#71282101",NA,"2002","EM1915240","Yes","No","Yes","21","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_15","ROOM_22496","APPL_16994","Upright Full Size Single Freezer Only","Frigidaire",NA,"FFU14F5HWN",NA,"Unknown","WB33969516","Yes","No","No","13.7","Measured or Known","100",NA,"No","No",NA,NA,"Laundry"
"SITE_150","ROOM_45795","APPL_87808","R/F Bottom Freezer","Samsung",NA,"RFG299AARS",NA,"Unknown","A18043CS300032","No","No","Yes","28.5","Measured or Known","100","No","Yes","Yes","Through door","Yes","Kitchen"
"SITE_1500","ROOM_43778","APPL_54653","Full Size Single Refrigerator Only","Frigidaire",NA,"FFRU17B2QWD",NA,"Unknown","WA73103655","No","No","Yes","Unknown",NA,"100","No","No","No",NA,NA,"Kitchen"
"SITE_1500","ROOM_43778","APPL_143371","Upright Full Size Single Freezer Only","Kenmore",NA,"#25322042410",NA,"Unknown","WB74158701","Yes","No","No","Unknown",NA,"100",NA,"No","No",NA,NA,"Kitchen"
"SITE_1501","ROOM_30748","APPL_133000","R/F Top Freezer","Kenmore",NA,"#25379234702",NA,"Unknown","4A71009991","No","No","Yes","18","Estimated","100","No","No","Yes","In freezer","No","Kitchen"
"SITE_1502","ROOM_13147","APPL_79016","Side by Side Refrigerator/Freezer","Frigidaire",NA,"FRS6R4EW6",NA,"2005","4A53907362","No","No","Yes","26","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1503","ROOM_42569","APPL_56378","R/F Top Freezer","Whirlpool",NA,"WRT314TFDB00",NA,"Unknown","VSX0467584","No","No","Yes","16.6","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_1503","ROOM_34428","APPL_111296","Chest Freezer","General Electric",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","4.5","Measured or Known","100",NA,"No","No",NA,NA,"Laundry"
"SITE_1504","ROOM_44065","APPL_77743","R/F Top Freezer","Whirlpool",NA,"WRT318FZDB06",NA,"2004","VSA1551203","No","No","Yes","21","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_1505","ROOM_17148","APPL_6008","R/F Top Freezer","Hotpoint",NA,"CTX18GACDRWW",NA,"Unknown","HV531039","No","No","No","21.1","Measured or Known","33","No","No","No",NA,NA,"Garage"
"SITE_1505","ROOM_5337","APPL_28564","R/F Bottom Freezer","Amana",NA,"ABB1924DEW",NA,"Unknown","10967538EL","No","No","Yes","19","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_1506","ROOM_39486","APPL_15238","Side by Side w/ Bottom Freezer","Maytag",NA,"MFI2067AES",NA,"Unknown","12093473LX","No","No","Yes","28.2","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1506","ROOM_40414","APPL_125904","Chest Freezer","Unknown",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","Unknown","No","No","6","Estimated","100",NA,"No","No",NA,NA,"Laundry"
"SITE_1507","ROOM_35540","APPL_1878","R/F Top Freezer","Crosley",NA,"CRTE171AW3",NA,"Unknown","BA53240029","No","No","Yes","17","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_1509","ROOM_12185","APPL_102430","R/F Top Freezer","Whirlpool",NA,"WRT104TFDW00",NA,"Unknown","VSA3362166","No","No","Yes","16","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_151","ROOM_41921","APPL_148332","R/F Top Freezer","Frigidaire",NA,"LIFU1765DW4",NA,"2019","BA90415795","No","No","No","18","Estimated","100","No","No","No",NA,NA,"Garage"
"SITE_151","ROOM_28972","APPL_58240","R/F Bottom Freezer","Fisher & Paykel",NA,"22635-A",NA,"Unknown","BIP601219","No","No","Yes","19.4","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_151","ROOM_41921","APPL_170184","Upright Full Size Single Freezer Only","Frigidaire",NA,"LIFU1765DW4",NA,"Unknown","WB51347675","No","No","No","20","Estimated","100",NA,"No","No",NA,NA,"Garage"
"SITE_1510","ROOM_5058","APPL_16436","Side by Side Refrigerator/Freezer","Kirkland",NA,"SS27AQXHH00",NA,"Unknown","SJ09415555","No","No","No","30.8","Measured or Known","100","No","No","Yes","Through door","Yes","Garage"
"SITE_1510","ROOM_13424","APPL_77091","Side by Side Refrigerator/Freezer","Jenn-air",NA,"JRSD2490",NA,"Unknown","#070009208","No","No","Yes","23.5","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1510","ROOM_2320","APPL_74974","Upright Full Size Single Freezer Only","Other","Imperial","Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","26","Estimated","100",NA,"No","No",NA,NA,"Laundry"
"SITE_1511","ROOM_17259","APPL_54143","R/F Top Freezer","Whirlpool",NA,"WRT311FZDW01",NA,"2020","VSX0341627","No","No","Yes","25","Estimated","100","No","No","No",NA,NA,"Kitchen"
"SITE_1512","ROOM_16537","APPL_114650","R/F Top Freezer","Kenmore",NA,"#25360412413",NA,"2016","BA62402930","Unknown","No","Yes","20.5","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_1513","ROOM_45533","APPL_5888","Upright Full Size Single Freezer Only","Frigidaire",NA,"FFU14FC4CW1",NA,"2003","WB34326511","No","No","No","14","Measured or Known","100",NA,"No","No",NA,NA,"Basement"
"SITE_1513","ROOM_11192","APPL_22385","R/F Top Freezer","Sears",NA,"106 6652522",NA,"Unknown","#56215786","No","No","Yes","15","Measured or Known","100","No","No","Yes","In freezer","Yes","Kitchen"
"SITE_1513","ROOM_31948","APPL_51722","R/F Top Freezer","Amana",NA,"TG18VIW",NA,"Unknown","#9707117999","No","No","No","20","Measured or Known","100","No","No","Yes","In freezer","No","Entry/Entryway"
"SITE_1514","ROOM_26200","APPL_140601","Side by Side w/ Bottom Freezer","Samsung",NA,"RF268ABPN",NA,"2010","Unknown","Yes","No","Yes","26","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1515","ROOM_32606","APPL_71448","Upright Full Size Single Freezer Only","Kenmore",NA,"#25322442414",NA,"2018","WB83061166","No","No","No","Unknown",NA,"100",NA,"No","No",NA,NA,"Kitchen"
"SITE_1515","ROOM_32606","APPL_111706","Side by Side w/ Bottom Freezer","Samsung",NA,"RE28T5001SR",NA,"2021","0B5X4BB110482B","No","No","Yes","Unknown",NA,"100","No","No","Yes","In freezer","Yes","Kitchen"
"SITE_1516","ROOM_16148","APPL_29838","Side by Side Refrigerator/Freezer","Amana",NA,"ASD2575BRW01",NA,"2015","HR51315492","No","No","Yes","Unknown",NA,"100","No","No","No",NA,NA,"Kitchen"
"SITE_1517","ROOM_16719","APPL_62735","Chest Freezer","Kelvinator",NA,"HFS204FM1W",NA,"1988","078H002521","No","No","No","38","Measured or Known","100",NA,"No","No",NA,NA,"Mechanical"
"SITE_1517","ROOM_39141","APPL_14298","Side by Side Refrigerator/Freezer","Whirlpool",NA,"WRS325SDHW05",NA,"Unknown","HRX3482233","No","No","Yes","25","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1517","ROOM_16719","APPL_65125","R/F Top Freezer","Whirlpool",NA,"ET14JKXJW00",NA,"Unknown","VSL2344581","No","No","No","13","Measured or Known","100","No","No","No",NA,NA,"Mechanical"
"SITE_1518","ROOM_39296","APPL_21868","Side by Side w/ Bottom Freezer","Whirlpool",NA,"WRF560SEYM04",NA,"2014","VS43683959","No","No","Yes","20.8","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_1519","ROOM_10028","APPL_5291","Side by Side w/ Bottom Freezer","LG",NA,"LFC24770SW/02",NA,"2015","509MRMD1P099","Yes","No","Yes","24","Measured or Known","100","No","No","Yes","In freezer","Yes","Kitchen"
"SITE_1519","ROOM_39039","APPL_32647","Chest Freezer","Frigidaire",NA,"GLFC2027FW5",NA,"2008","WB82627744","No","No","No","21","Measured or Known","100",NA,"No","No",NA,NA,"Outside"
"SITE_1519","ROOM_39039","APPL_87456","R/F Top Freezer","Amana",NA,"TX21VL",NA,"Unknown","#9703160169","No","No","No","24.3","Measured or Known","25","No","No","No",NA,NA,"Outside"
"SITE_152","ROOM_2842","APPL_149345","R/F Bottom Freezer","General Electric",NA,"PFE28KSKGSS",NA,"Unknown","FL521457","Yes","No","Yes","27.7","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_152","ROOM_23665","APPL_171590","Upright Full Size Single Freezer Only","Frigidaire",NA,"FFFH17F6QWB",NA,"Unknown","WB62948358","Yes","No","No","20","Estimated","100",NA,"No","No",NA,"Unknown","Mechanical"
"SITE_1520","ROOM_22050","APPL_14970","R/F Top Freezer","Kenmore",NA,"#1069638310",NA,"1993","EC2118256","No","No","Yes","20.3","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_1520","ROOM_12996","APPL_113921","Upright Full Size Single Freezer Only","Frigidaire",NA,"FFU09K0AW2",NA,"2002","WB23926075","No","No","No","9.6","Measured or Known","100",NA,"No","No",NA,NA,"Bedroom"
"SITE_1521","ROOM_24444","APPL_50689","Side by Side Refrigerator/Freezer","KitchenAid",NA,"K5RS250GWH00",NA,"1998","SHB539364","No","No","Yes","25","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1522","ROOM_11939","APPL_63046","R/F Bottom Freezer","HiSense",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","Yes","20.9","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_1523","ROOM_32250","APPL_149200","Side by Side Refrigerator/Freezer","Jenn-air",NA,"JRSD2091B",NA,"Unknown","10404799MF","No","No","Yes","22","Measured or Known","100","No","No","Yes","Through door","No","Kitchen"
"SITE_1524","ROOM_21557","APPL_48724","Side by Side Refrigerator/Freezer","Whirlpool",NA,"WRS321SDHB08",NA,"2021","HRA4788557","No","No","Yes","21","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1524","ROOM_21557","APPL_110044","Chest Freezer","Arctic King",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","7","Estimated","100",NA,"No","No",NA,NA,"Kitchen"
"SITE_1525","ROOM_25199","APPL_164869","Side by Side w/ Bottom Freezer","LG",NA,"LFDS225205/04",NA,"2020","008MRGC33255","No","No","Yes","22","Measured or Known","100","No","No","Yes","In freezer","Yes","Kitchen"
"SITE_1525","ROOM_13777","APPL_103595","Side by Side w/ Bottom Freezer","Samsung",NA,"RF26VABWP",NA,"Unknown","081342BQ700857J","No","No","No","25","Measured or Known","100","No","No","Yes","Through door","Yes","Outbuilding / Addition"
"SITE_1525","ROOM_26066","APPL_31652","R/F Top Freezer","Danby",NA,"Unknown",NA,"Unknown","Unknown","No","No","No","15","Estimated","100","No","No","No",NA,NA,"Laundry"
"SITE_1526","ROOM_45225","APPL_24405","R/F Top Freezer","Estate",NA,"TT18DKXRQ01",NA,"2008","VSW2754820","No","No","Yes","Unknown",NA,"100","No","No","No",NA,NA,"Kitchen"
"SITE_1526","ROOM_20500","APPL_56599","Chest Freezer","Haier",NA,"Unknown","Unknown","Unknown","Unknown","Unknown","No","No","Unknown",NA,"100",NA,"No","No",NA,NA,"Garage"
"SITE_1527","ROOM_2343","APPL_106079","Upright Full Size Single Freezer Only","General Electric",NA,"FUF21SMREWW",NA,"Unknown","SR593698","No","No","No","22.6","Measured or Known","100",NA,"No","No",NA,NA,"Garage"
"SITE_1527","ROOM_21789","APPL_141833","Side by Side Refrigerator/Freezer","Frigidaire",NA,"MRS26LGJC0",NA,"Unknown","LA01227299","No","No","Yes","25.9","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1527","ROOM_2343","APPL_131789","Mini-Fridge","Newair",NA,"Unknown","Unknown","Unknown","Unknown","Unknown","No","No","3.6","Measured or Known","100",NA,"No","No",NA,NA,"Garage"
"SITE_1527","ROOM_32881","APPL_173237","Mini-Fridge","Other","Fridgemaster","Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","5.5","Measured or Known","100",NA,"No","No",NA,NA,"Family Room"
"SITE_1528","ROOM_6209","APPL_81630","Side by Side Refrigerator/Freezer","Whirlpool",NA,"EED-192MM",NA,"Unknown","Unknown","No","No","Yes","19.1","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_1529","ROOM_3454","APPL_46819","Mini-Fridge","Other","Zephyr","PRB24C01BG",NA,"Unknown","1351877LSF","No","No","No","7.1","Measured or Known","100",NA,"No","No",NA,NA,"Kitchen"
"SITE_1529","ROOM_38675","APPL_172305","Upright Full Size Single Freezer Only","General Electric",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","15.2","Measured or Known","100",NA,"No","No",NA,NA,"Garage"
"SITE_1529","ROOM_3454","APPL_171796","Side by Side w/ Bottom Freezer","Other","Monogram","Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","Yes","27.8","Measured or Known","100","No","No","Yes","In freezer","Yes","Kitchen"
"SITE_1529","ROOM_25015","APPL_36747","Mini-Fridge","Frigidaire",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","4.3","Measured or Known","100",NA,"No","No",NA,NA,"Family Room"
"SITE_153","ROOM_42521","APPL_30014","R/F Bottom Freezer","LG",NA,"LMWS27626S/04",NA,"2021","106KRUCL6214","No","No","Yes","49.7","Measured or Known","100","No","No","Yes","In freezer","Yes","Kitchen"
"SITE_153","ROOM_27852","APPL_51686","R/F Top Freezer","General Electric",NA,"GTS18GTHSRWW",NA,"Unknown","MM834357","No","No","No","26.5","Measured or Known","100","No","No","No",NA,NA,"Family Room"
"SITE_1530","ROOM_24372","APPL_107965","Side by Side Refrigerator/Freezer","KitchenAid",NA,"KSRS25IHBL02",NA,"2000","SK4636029","No","No","No","26","Measured or Known","100","No","No","Yes","Through door","Yes","Basement"
"SITE_1530","ROOM_15095","APPL_55741","Side by Side w/ Bottom Freezer","General Electric",NA,"GFE26JEMTFDS",NA,"Unknown","FT300741","No","No","Yes","29.2","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1530","ROOM_24372","APPL_114592","Chest Freezer","Kenmore",NA,"Unknown","Unknown","Unknown","Unknown","No","No","Yes","5.4","Measured or Known","100",NA,"No","No",NA,NA,"Basement"
"SITE_1531","ROOM_33965","APPL_57826","R/F Bottom Freezer","Kenmore",NA,"#59673212200",NA,"Unknown","10742281CT","No","No","Yes","25.6","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_1531","ROOM_31120","APPL_139560","Mini-Fridge","Magic Chef",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","No","No","No","4.2","Measured or Known","100",NA,"No","No",NA,NA,"Bedroom"
"SITE_1532","ROOM_5605","APPL_143420","R/F Top Freezer","Kenmore",NA,"2536321201D",NA,"Unknown","4A42801270","No","No","No","21.6","Measured or Known","100","No","No","No",NA,NA,"Garage"
"SITE_1532","ROOM_5605","APPL_162299","Chest Freezer","Frigidaire",NA,"Unknown","Unknown","Unknown","Unknown","Unknown","No","No","4","Estimated","100",NA,"No","No",NA,NA,"Garage"
"SITE_1532","ROOM_14624","APPL_48145","Side by Side Refrigerator/Freezer","Kenmore",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","Unknown","No","Yes","19.9","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1533","ROOM_5493","APPL_15865","R/F Top Freezer","Hotpoint",NA,"HTR15ABMBRWW",NA,"Unknown","RA766778","No","No","Yes","18.1","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_1534","ROOM_10480","APPL_73684","Side by Side Refrigerator/Freezer","Frigidaire",NA,"FRS6LF7JS3",NA,"2010","4A00311231","Yes","No","Yes","26","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1535","ROOM_6227","APPL_126533","R/F Top Freezer","General Electric",NA,"TBX1 8 SAS JRWH",NA,"Unknown","SL577245","No","No","Yes","22","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_1536","ROOM_196","APPL_72373","R/F Top Freezer","Whirlpool",NA,"WRT108FZDB05",NA,"Unknown","VS94139725","No","No","Yes","20.7","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_1537","ROOM_12494","APPL_137197","Upright Full Size Single Freezer Only","Electrolux",NA,"FFU21M7HWJ",NA,"Unknown","WB01657343","No","No","No","22","Estimated","100",NA,"No","No",NA,NA,"Garage"
"SITE_1537","ROOM_15900","APPL_118010","Side by Side w/ Bottom Freezer","LG",NA,"LFXS24623S/01",NA,"Unknown","710MRZL13741","No","No","Yes","25","Estimated","100","No","Yes","Yes","Through door","Yes","Kitchen"
"SITE_1538","ROOM_22218","APPL_116133","Chest Freezer","Kelvinator",NA,"MFC07M1BW1",NA,"1995","WB54820414","No","No","No","16","Estimated","100",NA,"No","No",NA,NA,"Mechanical"
"SITE_1538","ROOM_40498","APPL_48958","Mini-Fridge","General Electric",NA,"TAX4SNYBWH",NA,"1996","FT137244","No","No","No","4","Estimated","100",NA,"No","No",NA,NA,"Family Room"
"SITE_1538","ROOM_41573","APPL_78530","Side by Side Refrigerator/Freezer","General Electric",NA,"PSF26MGWC BB",NA,"Unknown","VM 428867","No","No","Yes","26","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1538","ROOM_22218","APPL_44973","Upright Full Size Single Freezer Only","Gibson",NA,"FV21M2",NA,"Unknown","Unknown","No","No","No","21","Measured or Known","100",NA,"No","No",NA,NA,"Mechanical"
"SITE_1538","ROOM_12320","APPL_80301","Mini-Fridge","Other","Whynter","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","4","Estimated","100",NA,"Yes","No",NA,NA,"Laundry"
"SITE_1539","ROOM_39433","APPL_115805","Side by Side w/ Bottom Freezer","Jenn-air",NA,"JFC2089HPF",NA,"Unknown","12117246NP","No","No","Yes","21","Estimated","100","No","No","Yes","In freezer","Yes","Kitchen"
"SITE_1539","ROOM_43642","APPL_171490","R/F Top Freezer","Frigidaire",NA,"FFHT1824US",NA,"Unknown","KA95204593","No","No","No","18","Measured or Known","100","No","No","No",NA,NA,"Outbuilding / Addition"
"SITE_154","ROOM_15707","APPL_171041","R/F Bottom Freezer","LG",NA,"LFX25973ST/00",NA,"2011","108KRWZ0F641","No","No","Yes","47.5","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_154","ROOM_20785","APPL_140658","R/F Top Freezer","Sears",NA,"2537482340B",NA,"2005","BA55222507","Unknown","No","No","20","Estimated","100","No","No","Yes","In freezer","No","Garage"
"SITE_154","ROOM_20785","APPL_110994","Upright Full Size Single Freezer Only","Frigidaire",NA,"FFU14F5HWN",NA,"2014","WB40563859","Unknown","No","No","20","Estimated","100",NA,"No","No",NA,NA,"Garage"
"SITE_1540","ROOM_21231","APPL_171347","R/F Top Freezer","Frigidaire",NA,"Unknown","NAMEPLATE IS ILLEGIBLE","Unknown","Unknown","No","No","Yes","21","Estimated","100","No","No","No",NA,NA,"Kitchen"
"SITE_1541","ROOM_19841","APPL_88621","R/F Top Freezer","Frigidaire",NA,"FFHT2117PS3",NA,"2014","4A42318953","No","No","Yes","24.9","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_1541","ROOM_1495","APPL_9341","Chest Freezer","Frigidaire",NA,"FFC07K0DW1",NA,"2004","WB43817055","No","No","No","8.3","Measured or Known","100",NA,"No","No",NA,NA,"Outside"
"SITE_1542","ROOM_307","APPL_123672","Upright Full Size Single Freezer Only","Frigidaire",NA,"FFU21D9CW2",NA,"Unknown","WB70408955","No","No","No","18.7","Measured or Known","100",NA,"No","No",NA,NA,"Outbuilding / Addition"
