station,ghcnd_id,note,date,DLY-TAVG-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-HTDD-NORMAL,DLY-CLDD-NORMAL
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-01-22,42.1,48.4,35.9,23.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-01-23,42.2,48.5,35.9,23.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-01-24,42.2,48.6,35.9,23.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-01-25,42.3,48.7,35.8,23.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-01-26,42.3,48.8,35.8,23.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-01-27,42.4,48.9,35.8,23.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-01-28,42.4,49.1,35.7,23.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-01-29,42.4,49.2,35.7,23.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-01-30,42.5,49.3,35.6,23.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-01-31,42.5,49.4,35.6,22.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-02-01,42.6,49.6,35.5,22.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-02-02,42.6,49.7,35.5,22.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-02-03,42.6,49.8,35.4,22.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-02-04,42.7,50.0,35.4,22.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-02-05,42.7,50.1,35.3,22.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-02-06,42.7,50.2,35.2,22.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-02-07,42.8,50.4,35.2,22.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-02-08,42.8,50.5,35.1,22.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-02-09,42.9,50.7,35.1,22.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-02-10,42.9,50.8,35.1,22.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-02-11,43.0,51.0,35.0,22.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-02-12,43.1,51.2,35.0,22.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-02-13,43.2,51.3,35.0,22.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-02-14,43.2,51.5,35.0,22.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-02-15,43.3,51.7,35.0,22.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-02-16,43.4,51.9,35.0,22.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-02-17,43.5,52.0,35.0,21.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-02-18,43.6,52.2,35.1,21.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-02-19,43.8,52.4,35.1,21.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-02-20,43.9,52.6,35.2,21.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-02-21,44.0,52.8,35.3,21.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-02-22,44.2,53.0,35.4,21.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-02-23,44.3,53.2,35.5,21.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-02-24,44.5,53.4,35.6,21.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-02-25,44.6,53.6,35.7,20.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-02-26,44.8,53.8,35.8,20.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-02-27,45.0,54.0,36.0,20.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-02-28,45.2,54.2,36.1,20.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-03-01,45.3,54.4,36.3,20.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-03-02,45.5,54.6,36.5,19.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-03-03,45.7,54.8,36.6,19.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-03-04,45.9,55.0,36.8,19.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-03-05,46.1,55.2,37.0,19.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-03-06,46.3,55.3,37.2,19.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-03-07,46.5,55.5,37.4,19.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-03-08,46.7,55.7,37.6,18.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-03-09,46.9,55.9,37.8,18.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-03-10,47.1,56.1,38.1,18.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-03-11,47.3,56.2,38.3,18.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-03-12,47.4,56.4,38.5,18.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-03-13,47.6,56.6,38.7,17.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-03-14,47.8,56.7,38.9,17.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-03-15,48.0,56.9,39.1,17.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-03-16,48.2,57.0,39.3,17.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-03-17,48.3,57.2,39.5,17.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-03-18,48.5,57.3,39.7,17.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-03-19,48.7,57.5,39.8,16.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-03-20,48.8,57.6,40.0,16.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-03-21,49.0,57.7,40.2,16.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-03-22,49.1,57.9,40.3,16.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-03-23,49.2,58.0,40.5,16.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-03-24,49.4,58.1,40.6,16.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-03-25,49.5,58.2,40.7,16.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-03-26,49.6,58.4,40.9,15.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-03-27,49.7,58.5,41.0,15.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-03-28,49.8,58.6,41.1,15.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-03-29,50.0,58.7,41.2,15.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-03-30,50.1,58.8,41.3,15.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-03-31,50.2,59.0,41.4,15.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-04-01,50.3,59.1,41.5,15.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-04-02,50.4,59.2,41.5,15.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-04-03,50.5,59.3,41.6,15.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-04-04,50.6,59.5,41.7,14.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-04-05,50.7,59.6,41.7,14.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-04-06,50.8,59.7,41.8,14.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-04-07,50.9,59.9,41.8,14.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-04-08,51.0,60.0,41.9,14.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-04-09,51.1,60.2,42.0,14.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-04-10,51.2,60.3,42.0,14.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-04-11,51.3,60.5,42.1,14.0,0.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-04-12,51.4,60.7,42.1,14.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-04-13,51.5,60.8,42.2,13.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-04-14,51.6,61.0,42.3,13.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-04-15,51.8,61.2,42.4,13.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-04-16,51.9,61.4,42.4,13.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-04-17,52.1,61.6,42.5,13.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-04-18,52.2,61.8,42.6,13.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-04-19,52.4,62.0,42.7,13.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-04-20,52.5,62.2,42.8,12.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-04-21,52.7,62.4,42.9,12.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-04-22,52.9,62.7,43.1,12.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-04-23,53.1,62.9,43.2,12.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-04-24,53.2,63.1,43.4,12.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-04-25,53.4,63.4,43.5,12.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-04-26,53.6,63.6,43.7,11.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-04-27,53.9,63.8,43.9,11.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-04-28,54.1,64.1,44.0,11.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-04-29,54.3,64.3,44.2,11.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-04-30,54.5,64.6,44.4,11.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-05-01,54.7,64.8,44.6,10.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-05-02,55.0,65.1,44.9,10.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-05-03,55.2,65.3,45.1,10.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-05-04,55.5,65.6,45.3,10.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-05-05,55.7,65.8,45.5,9.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-05-06,55.9,66.1,45.8,9.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-05-07,56.2,66.3,46.0,9.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-05-08,56.4,66.6,46.3,9.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-05-09,56.7,66.8,46.5,9.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-05-10,56.9,67.0,46.8,8.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-05-11,57.1,67.2,47.0,8.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-05-12,57.4,67.5,47.3,8.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-05-13,57.6,67.7,47.6,8.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-05-14,57.9,67.9,47.8,8.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-05-15,58.1,68.1,48.1,7.0,-7777.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-05-16,58.3,68.3,48.3,7.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-05-17,58.5,68.5,48.6,7.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-05-18,58.7,68.7,48.8,7.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-05-19,58.9,68.9,49.0,7.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-05-20,59.2,69.0,49.3,6.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-05-21,59.4,69.2,49.5,6.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-05-22,59.5,69.4,49.7,6.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-05-23,59.7,69.5,49.9,6.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-05-24,59.9,69.7,50.1,6.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-05-25,60.1,69.9,50.3,6.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-05-26,60.3,70.0,50.5,5.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-05-27,60.4,70.2,50.7,5.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-05-28,60.6,70.3,50.9,5.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-05-29,60.8,70.4,51.1,5.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-05-30,60.9,70.6,51.3,5.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-05-31,61.1,70.7,51.4,5.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-06-01,61.2,70.9,51.6,5.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-06-02,61.4,71.0,51.7,5.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-06-03,61.5,71.1,51.9,4.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-06-04,61.6,71.3,52.0,4.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-06-05,61.8,71.4,52.1,4.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-06-06,61.9,71.6,52.2,4.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-06-07,62.0,71.7,52.4,4.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-06-08,62.2,71.9,52.5,4.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-06-09,62.3,72.0,52.6,4.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-06-10,62.5,72.2,52.7,4.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-06-11,62.6,72.4,52.8,3.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-06-12,62.7,72.6,52.9,3.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-06-13,62.9,72.7,53.0,3.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-06-14,63.0,72.9,53.1,3.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-06-15,63.2,73.1,53.2,3.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-06-16,63.3,73.3,53.3,3.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-06-17,63.5,73.5,53.5,3.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-06-18,63.6,73.7,53.6,3.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-06-19,63.8,73.9,53.7,3.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-06-20,64.0,74.1,53.8,2.0,1.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-06-21,64.1,74.4,53.9,2.0,2.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-06-22,64.3,74.6,54.0,2.0,2.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-06-23,64.5,74.8,54.1,2.0,2.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-06-24,64.7,75.1,54.2,2.0,2.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-06-25,64.8,75.3,54.4,2.0,2.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-06-26,65.0,75.6,54.5,2.0,2.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-06-27,65.2,75.8,54.6,2.0,2.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-06-28,65.4,76.1,54.8,2.0,2.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-06-29,65.6,76.3,54.9,2.0,2.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-06-30,65.8,76.6,55.0,2.0,2.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-07-01,66.0,76.8,55.2,2.0,3.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-07-02,66.2,77.1,55.3,1.0,3.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-07-03,66.4,77.4,55.4,1.0,3.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-07-04,66.6,77.6,55.6,1.0,3.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-07-05,66.8,77.9,55.7,1.0,3.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-07-06,67.0,78.1,55.8,1.0,3.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-07-07,67.2,78.4,56.0,1.0,3.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-07-08,67.4,78.6,56.1,1.0,3.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-07-09,67.5,78.8,56.3,1.0,3.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-07-10,67.7,79.1,56.4,1.0,4.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-07-11,67.9,79.3,56.5,1.0,4.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-07-12,68.1,79.5,56.6,1.0,4.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-07-13,68.3,79.7,56.8,1.0,4.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-07-14,68.4,79.9,56.9,1.0,4.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-07-15,68.6,80.1,57.0,1.0,4.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-07-16,68.7,80.3,57.1,1.0,4.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-07-17,68.9,80.5,57.2,-7777.0,4.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-07-18,69.0,80.7,57.3,-7777.0,4.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-07-19,69.1,80.8,57.4,-7777.0,5.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-07-20,69.2,81.0,57.5,-7777.0,5.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-07-21,69.4,81.1,57.6,-7777.0,5.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-07-22,69.5,81.3,57.6,-7777.0,5.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-07-23,69.5,81.4,57.7,-7777.0,5.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-07-24,69.6,81.5,57.8,-7777.0,5.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-07-25,69.7,81.6,57.8,-7777.0,5.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-07-26,69.8,81.7,57.8,-7777.0,5.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-07-27,69.8,81.8,57.9,-7777.0,5.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-07-28,69.9,81.9,57.9,-7777.0,5.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-07-29,69.9,81.9,57.9,-7777.0,5.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-07-30,70.0,82.0,57.9,-7777.0,5.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-07-31,70.0,82.0,57.9,-7777.0,5.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-08-01,70.0,82.1,57.9,-7777.0,5.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-08-02,70.0,82.1,57.9,-7777.0,5.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-08-03,70.0,82.1,57.9,-7777.0,5.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-08-04,70.0,82.1,57.9,-7777.0,5.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-08-05,70.0,82.1,57.8,-7777.0,5.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-08-06,70.0,82.1,57.8,-7777.0,5.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-08-07,69.9,82.1,57.8,-7777.0,5.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-08-08,69.9,82.1,57.7,-7777.0,5.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-08-09,69.9,82.1,57.6,-7777.0,5.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-08-10,69.8,82.0,57.6,-7777.0,5.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-08-11,69.8,82.0,57.5,-7777.0,5.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-08-12,69.7,82.0,57.4,-7777.0,5.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-08-13,69.6,81.9,57.4,-7777.0,5.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-08-14,69.6,81.9,57.3,-7777.0,5.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-08-15,69.5,81.8,57.2,-7777.0,5.0
KVUO,GHCND:USW00094298,"Vancouver Pearson Airport, WA",2010-08-16,69.4,81.7,57.1,-7777.0,5.0
